"Data;Ora;Valore;Tipo;ID staz"
"2006-01-01;0:15;66;max;00251"
"2006-01-01;5:20;22;min;00251"
"2006-01-01;11:05;91;max;00251"
"2006-01-01;18:25;-27;min;00251"
"2006-01-02;0:35;62;max;00251"
"2006-01-02;5:35;29;min;00251"
"2006-01-02;11:25;87;max;00251"
"2006-01-02;18:35;-30;min;00251"
"2006-01-03;2:15;65;max;00251"
"2006-01-03;7:45;24;min;00251"
"2006-01-03;12:15;64;max;00251"
"2006-01-03;19:15;-25;min;00251"
"2006-01-04;2:25;68;max;00251"
"2006-01-04;8:15;12;min;00251"
"2006-01-04;13:00;52;max;00251"
"2006-01-04;19:30;-14;min;00251"
"2006-01-05;3:15;59;max;00251"
"2006-01-05;9:25;15;min;00251"
"2006-01-05;13:55;44;max;00251"
"2006-01-05;20:30;-12;min;00251"
"2006-01-06;3:50;59;max;00251"
"2006-01-06;10:30;7;min;00251"
"2006-01-06;14:40;27;max;00251"
"2006-01-06;20:50;-10;min;00251"
"2006-01-07;4:35;57;max;00251"
"2006-01-07;11:45;1;min;00251"
"2006-01-07;16:25;19;max;00251"
"2006-01-07;21:30;4;min;00251"
"2006-01-08;5:10;56;max;00251"
"2006-01-08;13:50;-12;min;00251"
"2006-01-08;19:15;13;max;00251"
"2006-01-08;23:05;7;min;00251"
"2006-01-09;6:25;45;max;00251"
"2006-01-09;14:25;-32;min;00251"
"2006-01-09;21:00;23;max;00251"
"2006-01-10;1:05;7;min;00251"
"2006-01-10;7:15;49;max;00251"
"2006-01-10;14:55;-38;min;00251"
"2006-01-10;22:05;28;max;00251"
"2006-01-11;2:05;15;min;00251"
"2006-01-11;7:45;49;max;00251"
"2006-01-11;15:50;-46;min;00251"
"2006-01-11;22:50;34;max;00251"
"2006-01-12;2:55;11;min;00251"
"2006-01-12;8:30;53;max;00251"
"2006-01-12;16:20;-48;min;00251"
"2006-01-12;23:05;42;max;00251"
"2006-01-13;4:00;4;min;00251"
"2006-01-13;9:30;50;max;00251"
"2006-01-13;16:50;-60;min;00251"
"2006-01-13;23:35;38;max;00251"
"2006-01-14;4:30;-1;min;00251"
"2006-01-14;10:00;51;max;00251"
"2006-01-14;16:55;-54;min;00251"
"2006-01-15;0:00;47;max;00251"
"2006-01-15;5:15;3;min;00251"
"2006-01-15;10:35;48;max;00251"
"2006-01-15;17:30;-51;min;00251"
"2006-01-16;0:35;42;max;00251"
"2006-01-16;5:40;-4;min;00251"
"2006-01-16;11:15;47;max;00251"
"2006-01-16;18:00;-51;min;00251"
"2006-01-17;0:55;40;max;00251"
"2006-01-17;6:05;-5;min;00251"
"2006-01-17;11:30;48;max;00251"
"2006-01-17;18:10;-37;min;00251"
"2006-01-18;1:35;55;max;00251"
"2006-01-18;6:45;8;min;00251"
"2006-01-18;12:00;58;max;00251"
"2006-01-18;18:50;-27;min;00251"
"2006-01-19;1:25;50;max;00251"
"2006-01-19;7:20;1;min;00251"
"2006-01-19;12:05;28;max;00251"
"2006-01-19;18:40;-42;min;00251"
"2006-01-20;2:40;43;max;00251"
"2006-01-20;8:25;-2;min;00251"
"2006-01-20;12:20;15;max;00251"
"2006-01-20;18:10;-26;min;00251"
"2006-01-21;2:50;56;max;00251"
"2006-01-21;9:15;-5;min;00251"
"2006-01-21;13:15;14;max;00251"
"2006-01-21;19:40;-18;min;00251"
"2006-01-22;2:40;50;max;00251"
"2006-01-22;10:25;-17;min;00251"
"2006-01-22;14:45;-4;max;00251"
"2006-01-22;17:55;-10;min;00251"
"2006-01-23;3:50;45;max;00251"
"2006-01-23;9:25;-5;min;00251"
"2006-01-23;13:35;4;max;00251"
"2006-01-23;15:15;-4;min;00251"
"2006-01-24;1:30;39;max;00251"
"2006-01-24;14:20;-13;min;00251"
"2006-01-24;22:15;28;max;00251"
"2006-01-25;2:25;15;min;00251"
"2006-01-25;6:25;35;max;00251"
"2006-01-25;14:30;-34;min;00251"
"2006-01-25;21:35;31;max;00251"
"2006-01-26;1:10;11;min;00251"
"2006-01-26;7:45;53;max;00251"
"2006-01-26;15:05;-31;min;00251"
"2006-01-26;22:25;48;max;00251"
"2006-01-27;2:50;30;min;00251"
"2006-01-27;8:35;68;max;00251"
"2006-01-27;15:50;-22;min;00251"
"2006-01-27;23:15;65;max;00251"
"2006-01-28;4:10;16;min;00251"
"2006-01-28;9:35;67;max;00251"
"2006-01-28;16:40;-40;min;00251"
"2006-01-28;23:15;61;max;00251"
"2006-01-29;4:45;2;min;00251"
"2006-01-29;10:15;66;max;00251"
"2006-01-29;17:10;-51;min;00251"
"2006-01-30;0:05;48;max;00251"
"2006-01-30;5:20;-12;min;00251"
"2006-01-30;11:00;56;max;00251"
"2006-01-30;18:05;-63;min;00251"
"2006-01-31;0:35;44;max;00251"
"2006-01-31;5:55;-21;min;00251"
"2006-01-31;11:20;51;max;00251"
"2006-01-31;18:00;-64;min;00251"
"2006-02-01;1:20;41;max;00251"
"2006-02-01;6:30;-19;min;00251"
"2006-02-01;11:55;43;max;00251"
"2006-02-01;18:40;-59;min;00251"
"2006-02-02;2:00;56;max;00251"
"2006-02-02;7:45;-6;min;00251"
"2006-02-02;12:25;41;max;00251"
"2006-02-02;18:40;-36;min;00251"
"2006-02-03;2:10;64;max;00251"
"2006-02-03;8:50;-5;min;00251"
"2006-02-03;13:05;29;max;00251"
"2006-02-03;18:55;-19;min;00251"
"2006-02-04;2:20;65;max;00251"
"2006-02-04;9:25;-10;min;00251"
"2006-02-04;14:50;22;max;00251"
"2006-02-04;18:40;-2;min;00251"
"2006-02-05;2:05;59;max;00251"
