"Data;Ora;Valore;Tipo;ID staz"
"1997-01-01;5:30;89;max;00251"
"1997-01-01;8:40;80;min;00251"
"1997-01-01;9:50;82;max;00251"
"1997-01-01;12:50;71;min;00251"
"1997-01-01;13:50;72;max;00251"
"1997-01-01;21:30;4;min;00251"
"1997-01-02;5:40;83;max;00251"
"1997-01-02;15:20;27;min;00251"
"1997-01-02;16:40;31;max;00251"
"1997-01-02;21:20;16;min;00251"
"1997-01-03;6:00;104;max;00251"
"1997-01-03;14:20;17;min;00251"
"1997-01-04;5:20;120;max;00251"
"1997-01-04;14:30;18;min;00251"
"1997-01-05;7:10;97;max;00251"
"1997-01-05;15:10;-4;min;00251"
"1997-01-05;22:10;68;max;00251"
"1997-01-06;2:20;39;min;00251"
"1997-01-06;7:50;84;max;00251"
"1997-01-06;15:20;-12;min;00251"
"1997-01-06;22:20;78;max;00251"
"1997-01-07;3:20;32;min;00251"
"1997-01-07;9:00;86;max;00251"
"1997-01-07;16:30;-16;min;00251"
"1997-01-07;22:40;75;max;00251"
"1997-01-08;4:10;16;min;00251"
"1997-01-08;10:00;88;max;00251"
"1997-01-08;16:40;-16;min;00251"
"1997-01-08;23:10;75;max;00251"
"1997-01-09;4:40;20;min;00251"
"1997-01-09;10:40;100;max;00251"
"1997-01-09;17:20;4;min;00251"
"1997-01-09;23:40;87;max;00251"
"1997-01-10;5:30;22;min;00251"
"1997-01-10;11:30;95;max;00251"
"1997-01-10;18:00;4;min;00251"
"1997-01-11;0:40;80;max;00251"
"1997-01-11;6:10;27;min;00251"
"1997-01-11;12:20;99;max;00251"
"1997-01-11;19:10;-10;min;00251"
"1997-01-12;1:30;76;max;00251"
"1997-01-12;7:00;16;min;00251"
"1997-01-12;12:30;76;max;00251"
"1997-01-12;19:00;-28;min;00251"
"1997-01-13;2:00;62;max;00251"
"1997-01-13;7:50;20;min;00251"
"1997-01-13;12:40;59;max;00251"
"1997-01-13;19:40;-21;min;00251"
"1997-01-14;3:10;67;max;00251"
"1997-01-14;9:20;17;min;00251"
"1997-01-14;13:30;39;max;00251"
"1997-01-14;20:15;-17;min;00251"
"1997-01-15;3:30;62;max;00251"
"1997-01-15;10:50;-1;min;00251"
"1997-01-15;14:50;20;max;00251"
"1997-01-15;20:15;-5;min;00251"
"1997-01-16;3:55;56;max;00251"
"1997-01-16;11:35;4;min;00251"
"1997-01-16;18:30;19;max;00251"
"1997-01-16;20:55;17;min;00251"
"1997-01-17;5:00;52;max;00251"
"1997-01-17;13:20;-5;min;00251"
"1997-01-17;20:00;31;max;00251"
"1997-01-18;0:20;23;min;00251"
"1997-01-18;6:40;52;max;00251"
"1997-01-18;14:40;-11;min;00251"
"1997-01-18;21:20;40;max;00251"
"1997-01-19;1:40;19;min;00251"
"1997-01-19;8:00;56;max;00251"
"1997-01-19;15:10;-16;min;00251"
"1997-01-19;21:20;51;max;00251"
"1997-01-20;2:10;20;min;00251"
"1997-01-20;8:50;69;max;00251"
"1997-01-20;16:00;-19;min;00251"
"1997-01-20;22:10;55;max;00251"
"1997-01-21;3:15;15;min;00251"
"1997-01-21;9:10;70;max;00251"
"1997-01-21;16:15;-33;min;00251"
"1997-01-21;22:20;50;max;00251"
"1997-01-22;3:50;3;min;00251"
"1997-01-22;9:40;57;max;00251"
"1997-01-22;16:40;-40;min;00251"
"1997-01-22;23:00;52;max;00251"
"1997-01-23;4:30;-1;min;00251"
"1997-01-23;10:00;60;max;00251"
"1997-01-23;17:10;-44;min;00251"
