"Data;Ora;Valore;Tipo;ID staz"
"1990-01-01;2:05;39;max;00251"
"1990-01-01;7:05;5;min;00251"
"1990-01-01;12:25;41;max;00251"
"1990-01-01;19:30;-42;min;00251"
"1990-01-02;2:45;43;max;00251"
"1990-01-02;8:20;6;min;00251"
"1990-01-02;12:55;35;max;00251"
"1990-01-02;19:35;-39;min;00251"
"1990-01-03;3:45;47;max;00251"
"1990-01-03;9:35;4;min;00251"
"1990-01-03;13:45;22;max;00251"
"1990-01-03;20:00;-23;min;00251"
"1990-01-04;4:05;56;max;00251"
"1990-01-04;11:20;-5;min;00251"
"1990-01-04;15:10;6;max;00251"
"1990-01-04;20:20;-13;min;00251"
"1990-01-05;4:35;48;max;00251"
"1990-01-05;12:35;-21;min;00251"
"1990-01-05;19:25;4;max;00251"
"1990-01-05;21:45;3;min;00251"
"1990-01-06;5:30;48;max;00251"
"1990-01-06;13:40;-33;min;00251"
"1990-01-06;20:55;16;max;00251"
"1990-01-07;0:15;9;min;00251"
"1990-01-07;6:20;42;max;00251"
"1990-01-07;14:40;-45;min;00251"
"1990-01-07;21:25;20;max;00251"
"1990-01-08;2:10;-1;min;00251"
"1990-01-08;7:55;37;max;00251"
"1990-01-08;15:15;-60;min;00251"
"1990-01-08;22:00;22;max;00251"
"1990-01-09;2:50;-10;min;00251"
"1990-01-09;9:15;38;max;00251"
"1990-01-09;15:55;-69;min;00251"
"1990-01-09;22:50;16;max;00251"
"1990-01-10;3:40;-20;min;00251"
"1990-01-10;9:40;32;max;00251"
"1990-01-10;16:35;-80;min;00251"
"1990-01-10;23:30;20;max;00251"
"1990-01-11;4:30;-17;min;00251"
"1990-01-11;10:15;39;max;00251"
"1990-01-11;17:00;-82;min;00251"
"1990-01-12;0:05;27;max;00251"
"1990-01-12;5:10;-18;min;00251"
"1990-01-12;10:40;32;max;00251"
"1990-01-12;17:25;-81;min;00251"
"1990-01-13;0:40;28;max;00251"
"1990-01-13;5:55;-23;min;00251"
"1990-01-13;11:05;25;max;00251"
"1990-01-13;17:45;-74;min;00251"
"1990-01-14;1:00;27;max;00251"
"1990-01-14;7:00;-26;min;00251"
"1990-01-14;11:55;15;max;00251"
"1990-01-14;18:15;-68;min;00251"
"1990-01-15;1:40;30;max;00251"
"1990-01-15;7:15;-30;min;00251"
"1990-01-15;12:20;14;max;00251"
"1990-01-15;18:45;-56;min;00251"
"1990-01-16;1:35;31;max;00251"
"1990-01-16;7:50;-26;min;00251"
"1990-01-16;12:25;11;max;00251"
"1990-01-16;18:30;-44;min;00251"
"1990-01-17;2:10;24;max;00251"
"1990-01-17;8:20;-25;min;00251"
"1990-01-17;13:00;-1;max;00251"
"1990-01-17;19:05;-34;min;00251"
"1990-01-18;2:25;23;max;00251"
