data;ora solare;valore;tipo;
01/01/2015;01:50;-0.09;min;
01/01/2015;09:20;0.38;max;
01/01/2015;15:20;-0.11;min;
01/01/2015;21:10;0.37;max;
02/01/2015;03:00;-0.09;min;
02/01/2015;09:30;0.59;max;
02/01/2015;16:10;-0.30;min;
02/01/2015;21:55;0.40;max;
03/01/2015;02:30;0.03;min;
03/01/2015;09:15;0.75;max;
03/01/2015;16:20;-0.31;min;
03/01/2015;23:15;0.53;max;
04/01/2015;03:25;0.23;min;
04/01/2015;09:00;0.80;max;
04/01/2015;16:50;-0.47;min;
04/01/2015;23:10;0.46;max;
05/01/2015;04:05;0.08;min;
05/01/2015;10:00;0.49;max;
05/01/2015;17:05;-0.59;min;
06/01/2015;00:10;0.58;max;
06/01/2015;05:20;0.02;min;
06/01/2015;10:50;0.53;max;
06/01/2015;17:10;-0.38;min;
07/01/2015;00:15;0.60;max;
07/01/2015;05:35;0.02;min;
07/01/2015;11:15;0.51;max;
07/01/2015;17:55;-0.25;min;
08/01/2015;01:05;0.57;max;
08/01/2015;06:20;0.04;min;
08/01/2015;11:45;0.54;max;
08/01/2015;18:25;-0.24;min;
09/01/2015;01:15;0.52;max;
09/01/2015;06:55;-0.01;min;
09/01/2015;12:00;0.48;max;
09/01/2015;18:55;-0.29;min;
10/01/2015;01:45;0.56;max;
10/01/2015;07:05;0.08;min;
10/01/2015;11:55;0.44;max;
10/01/2015;18:20;-0.26;min;
11/01/2015;02:30;0.55;max;
11/01/2015;07:45;0.23;min;
11/01/2015;12:55;0.45;max;
11/01/2015;19:55;-0.06;min;
12/01/2015;02:25;0.48;max;
12/01/2015;09:40;-0.16;min;
12/01/2015;14:30;0.30;max;
12/01/2015;20:45;-0.07;min;
13/01/2015;03:30;0.48;max;
13/01/2015;09:15;-0.07;min;
13/01/2015;14:00;0.24;max;
13/01/2015;19:10;-0.03;min;
14/01/2015;03:10;0.39;max;
14/01/2015;15:25;0.00;min;
14/01/2015;21:20;0.23;max;
15/01/2015;00:50;0.11;min;
15/01/2015;06:15;0.48;max;
15/01/2015;13:55;-0.20;min;
15/01/2015;20:25;0.33;max;
16/01/2015;00:55;0.08;min;
16/01/2015;06:55;0.54;max;
16/01/2015;14:15;-0.18;min;
16/01/2015;21:40;0.54;max;
17/01/2015;01:20;0.38;min;
17/01/2015;08:15;0.95;max;
17/01/2015;15:55;0.02;min;
17/01/2015;22:20;0.60;max;
18/01/2015;03:10;0.20;min;
18/01/2015;08:55;0.73;max;
18/01/2015;16:15;-0.27;min;
18/01/2015;22:55;0.58;max;
19/01/2015;03:35;0.15;min;
19/01/2015;09:20;0.78;max;
19/01/2015;16:40;-0.40;min;
19/01/2015;23:35;0.63;max;
20/01/2015;04:25;0.15;min;
20/01/2015;09:55;0.84;max;
20/01/2015;17:05;-0.33;min;
21/01/2015;00:15;0.65;max;
21/01/2015;05:20;0.13;min;
21/01/2015;11:10;0.79;max;
21/01/2015;17:45;-0.24;min;
22/01/2015;00:35;0.77;max;
22/01/2015;06:20;0.16;min;
22/01/2015;11:50;0.75;max;
22/01/2015;18:25;-0.21;min;
23/01/2015;01:05;0.80;max;
23/01/2015;06:35;0.23;min;
23/01/2015;12:10;0.90;max;
23/01/2015;18:55;-0.01;min;
24/01/2015;01:30;0.73;max;
24/01/2015;07:35;0.20;min;
24/01/2015;13:00;0.69;max;
24/01/2015;19:35;0.01;min;
25/01/2015;02:35;0.78;max;
25/01/2015;08:30;0.19;min;
25/01/2015;13:20;0.58;max;
25/01/2015;19:40;0.00;min;
26/01/2015;03:00;0.73;max;
26/01/2015;09:55;0.19;min;
26/01/2015;14:35;0.40;max;
26/01/2015;19:55;0.04;min;
27/01/2015;04:00;0.68;max;
27/01/2015;11:05;0.17;min;
27/01/2015;14:45;0.26;max;
27/01/2015;21:05;0.12;min;
28/01/2015;05:35;0.57;max;
28/01/2015;13:30;0.05;min;
28/01/2015;19:50;0.39;max;
28/01/2015;23:25;0.30;min;
29/01/2015;06:25;0.70;max;
29/01/2015;13:55;0.13;min;
29/01/2015;21:45;0.70;max;
30/01/2015;01:00;0.57;min;
30/01/2015;07:55;1.13;max;
30/01/2015;15:20;0.27;min;
30/01/2015;21:15;0.70;max;
31/01/2015;01:35;0.28;min;
31/01/2015;08:30;0.96;max;
31/01/2015;16:20;0.41;min;
31/01/2015;21:20;0.72;max;
01/02/2015;02:05;0.45;min;
01/02/2015;09:30;1.14;max;
01/02/2015;17:20;0.02;min;
01/02/2015;23:45;0.72;max;
02/02/2015;03:45;0.49;min;
02/02/2015;09:55;1.13;max;
02/02/2015;17:20;-0.06;min;
02/02/2015;23:40;0.86;max;
03/02/2015;04:15;0.48;min;
03/02/2015;09:50;1.05;max;
03/02/2015;16:55;-0.03;min;
03/02/2015;23:50;0.99;max;
04/02/2015;04:35;0.63;min;
04/02/2015;10:25;1.15;max;
04/02/2015;17:45;0.05;min;
05/02/2015;01:00;0.92;max;
05/02/2015;05:05;0.56;min;
05/02/2015;10:30;1.10;max;
05/02/2015;17:45;0.31;min;
06/02/2015;01:25;1.22;max;
06/02/2015;05:20;0.84;min;
06/02/2015;10:35;1.24;max;
06/02/2015;18:40;0.30;min;
07/02/2015;00:40;1.08;max;
07/02/2015;07:25;0.54;min;
07/02/2015;11:55;0.82;max;
07/02/2015;18:20;0.18;min;
08/02/2015;01:10;0.91;max;
08/02/2015;07:25;0.19;min;
08/02/2015;12:50;0.76;max;
08/02/2015;18:30;0.22;min;
09/02/2015;00:50;0.84;max;
09/02/2015;08:05;-0.02;min;
09/02/2015;13:55;0.54;max;
09/02/2015;19:25;0.10;min;
10/02/2015;01:05;0.55;max;
10/02/2015;07:45;-0.03;min;
10/02/2015;13:40;0.42;max;
10/02/2015;19:30;0.06;min;
11/02/2015;02:00;0.51;max;
11/02/2015;08:05;0.16;min;
11/02/2015;13:05;0.32;max;
11/02/2015;19:00;0.13;min;
12/02/2015;03:50;0.61;max;
12/02/2015;12:25;0.15;min;
12/02/2015;18:00;0.23;max;
12/02/2015;21:40;0.21;min;
13/02/2015;04:10;0.61;max;
13/02/2015;13:45;-0.02;min;
14/02/2015;05:50;0.59;max;
14/02/2015;14:05;-0.12;min;
14/02/2015;21:55;0.54;max;
15/02/2015;02:15;0.34;min;
15/02/2015;07:30;0.62;max;
15/02/2015;15:05;-0.17;min;
15/02/2015;21:55;0.65;max;
16/02/2015;03:10;0.21;min;
16/02/2015;08:25;0.65;max;
16/02/2015;15:25;-0.20;min;
16/02/2015;22:05;0.62;max;
17/02/2015;03:55;0.00;min;
17/02/2015;09:35;0.63;max;
17/02/2015;16:20;-0.34;min;
17/02/2015;22:55;0.58;max;
18/02/2015;04:25;-0.03;min;
18/02/2015;10:20;0.72;max;
18/02/2015;17:05;-0.49;min;
18/02/2015;23:35;0.49;max;
19/02/2015;05:05;-0.17;min;
19/02/2015;10:55;0.57;max;
19/02/2015;17:20;-0.62;min;
20/02/2015;00:00;0.46;max;
20/02/2015;05:30;-0.25;min;
20/02/2015;11:15;0.43;max;
20/02/2015;17:40;-0.59;min;
21/02/2015;00:50;0.57;max;
21/02/2015;06:25;-0.22;min;
21/02/2015;12:00;0.45;max;
21/02/2015;17:40;-0.30;min;
22/02/2015;01:00;0.79;max;
22/02/2015;07:15;-0.03;min;
22/02/2015;12:55;0.60;max;
22/02/2015;18:30;0.08;min;
23/02/2015;00:45;0.74;max;
23/02/2015;07:40;-0.05;min;
23/02/2015;13:45;0.61;max;
23/02/2015;19:15;0.11;min;
24/02/2015;01:25;0.56;max;
24/02/2015;07:35;0.11;min;
24/02/2015;13:25;0.49;max;
24/02/2015;19:20;0.19;min;
