Data;Ora;Valore;Tipo;ID staz
1994-01-01;1:30;63;max;00251
1994-01-01;5:55;27;min;00251
1994-01-01;12:40;100;max;00251
1994-01-01;19:05;-15;min;00251
1994-01-01;23:50;49;max;00251
1994-01-02;6:25;0;min;00251
1994-01-02;12:10;80;max;00251
1994-01-02;20:10;-20;min;00251
1994-01-03;2:40;54;max;00251
1994-01-03;6:50;36;min;00251
1994-01-03;12:20;55;max;00251
1994-01-03;20:10;-21;min;00251
1994-01-04;4:15;84;max;00251
1994-01-04;11:20;36;min;00251
1994-01-04;14:10;48;max;00251
1994-01-04;19:05;15;min;00251
1994-01-05;4:10;100;max;00251
1994-01-05;15:35;7;min;00251
1994-01-06;4:45;91;max;00251
1994-01-06;13:40;7;min;00251
1994-01-06;21:45;63;max;00251
1994-01-07;0:10;59;min;00251
1994-01-07;5:55;84;max;00251
1994-01-07;13:55;4;min;00251
1994-01-07;21:20;87;max;00251
1994-01-08;2:50;51;min;00251
1994-01-08;6:50;75;max;00251
1994-01-08;14:45;-10;min;00251
1994-01-08;21:20;68;max;00251
1994-01-09;2:40;27;min;00251
1994-01-09;8:35;68;max;00251
1994-01-09;16:05;-12;min;00251
1994-01-09;22:05;62;max;00251
1994-01-10;3:15;17;min;00251
1994-01-10;9:30;81;max;00251
1994-01-10;16:40;-17;min;00251
1994-01-10;23:20;65;max;00251
1994-01-11;4:00;30;min;00251
1994-01-11;10:10;111;max;00251
1994-01-11;17:25;-12;min;00251
1994-01-11;23:55;70;max;00251
1994-01-12;4:40;27;min;00251
1994-01-12;10:25;95;max;00251
1994-01-12;17:40;-28;min;00251
1994-01-13;0:25;64;max;00251
1994-01-13;5:30;22;min;00251
1994-01-13;11:10;76;max;00251
1994-01-13;17:50;-37;min;00251
1994-01-14;0:45;67;max;00251
1994-01-14;6:00;16;min;00251
1994-01-14;11:15;65;max;00251
1994-01-14;18:10;-32;min;00251
1994-01-15;1:00;71;max;00251
1994-01-15;7:40;14;min;00251
1994-01-15;12:10;60;max;00251
1994-01-15;18:25;-25;min;00251
1994-01-16;1:25;72;max;00251
1994-01-16;7:25;16;min;00251
1994-01-16;12:30;68;max;00251
1994-01-16;19:00;0;min;00251
1994-01-17;1:30;64;max;00251
1994-01-17;7:15;11;min;00251
1994-01-17;13:30;63;max;00251
1994-01-17;19:35;7;min;00251
1994-01-18;2:00;55;max;00251
1994-01-18;8:00;22;min;00251
1994-01-18;13:05;48;max;00251
1994-01-18;19:45;-5;min;00251
1994-01-19;3:40;36;max;00251
1994-01-19;9:05;8;min;00251
1994-01-19;13:50;19;max;00251
1994-01-19;20:30;-15;min;00251
1994-01-20;4:10;39;max;00251
1994-01-20;12:05;-5;min;00251
1994-01-20;18:55;20;max;00251
1994-01-20;20:10;17;min;00251
1994-01-21;2:50;64;max;00251
1994-01-21;13:00;-19;min;00251
1994-01-21;21:35;22;max;00251
1994-01-22;1:00;20;min;00251
1994-01-22;5:15;28;max;00251
1994-01-22;13:45;-28;min;00251
1994-01-22;20:45;23;max;00251
1994-01-23;1:40;8;min;00251
1994-01-23;7:00;25;max;00251
1994-01-23;15:10;-33;min;00251
1994-01-23;21:40;31;max;00251
1994-01-24;2:55;-1;min;00251
1994-01-24;8:20;41;max;00251
1994-01-24;15:15;-50;min;00251
1994-01-24;22:10;36;max;00251
1994-01-25;3:10;-5;min;00251
1994-01-25;9:05;52;max;00251
1994-01-25;15:50;-58;min;00251
1994-01-25;22:35;39;max;00251
1994-01-26;3:40;1;min;00251
1994-01-26;9:10;58;max;00251
1994-01-26;16:50;-49;min;00251
1994-01-26;22:35;41;max;00251
1994-01-27;4:50;-25;min;00251
1994-01-27;10:55;36;max;00251
1994-01-27;17:00;-56;min;00251
1994-01-27;23:25;48;max;00251
1994-01-28;5:10;-25;min;00251
1994-01-28;11:35;56;max;00251
1994-01-28;17:25;-52;min;00251
1994-01-28;23:50;27;max;00251
1994-01-29;6:05;-48;min;00251
1994-01-29;11:00;16;max;00251
1994-01-29;17:40;-90;min;00251
1994-01-30;1:05;31;max;00251
1994-01-30;6:20;-13;min;00251
1994-01-30;11:30;23;max;00251
1994-01-30;18:25;-72;min;00251
1994-01-31;1:50;52;max;00251
1994-01-31;8:00;-17;min;00251
1994-01-31;12:30;20;max;00251
1994-01-31;18:45;-56;min;00251
1994-02-01;1:55;59;max;00251
1994-02-01;8:30;-29;min;00251
1994-02-01;13:00;8;max;00251
1994-02-01;18:20;-33;min;00251
1994-02-02;1:55;49;max;00251
1994-02-02;9:05;-29;min;00251
1994-02-03;2:20;41;max;00251
1994-02-03;10:10;-21;min;00251
1994-02-03;19:40;17;max;00251
1994-02-03;22:00;16;min;00251
1994-02-04;4:00;39;max;00251
1994-02-04;11:00;-12;min;00251
1994-02-04;20:15;27;max;00251
1994-02-04;23:10;24;min;00251
1994-02-05;5:20;46;max;00251
1994-02-05;13:25;4;min;00251
1994-02-05;21:15;43;max;00251
1994-02-06;2:05;12;min;00251
1994-02-06;8:30;51;max;00251
1994-02-06;14:50;0;min;00251
1994-02-06;21:00;48;max;00251
1994-02-07;2:45;1;min;00251
1994-02-07;8:50;67;max;00251
1994-02-07;15:55;-21;min;00251
1994-02-07;22:05;55;max;00251
1994-02-08;3:05;9;min;00251
1994-02-08;9:15;75;max;00251
1994-02-08;16:30;-26;min;00251
1994-02-08;23:00;52;max;00251
1994-02-09;4:00;9;min;00251
1994-02-09;9:35;70;max;00251
1994-02-09;16:50;-37;min;00251
1994-02-09;23:30;60;max;00251
1994-02-10;5:05;0;min;00251
1994-02-10;10:20;64;max;00251
1994-02-10;16:55;-40;min;00251
1994-02-10;23:45;63;max;00251
1994-02-11;5:30;0;min;00251
1994-02-11;10:40;60;max;00251
1994-02-11;17:20;-37;min;00251
1994-02-12;0:10;67;max;00251
1994-02-12;5:55;-12;min;00251
1994-02-12;11:15;55;max;00251
1994-02-12;17:10;-23;min;00251
1994-02-13;0:20;72;max;00251
1994-02-13;6:25;4;min;00251
1994-02-13;12:15;63;max;00251
1994-02-13;17:55;1;min;00251
1994-02-14;1:00;75;max;00251
1994-02-14;6:55;11;min;00251
1994-02-14;12:45;60;max;00251
1994-02-14;18:30;3;min;00251
1994-02-15;0:15;63;max;00251
1994-02-15;6:55;-12;min;00251
1994-02-15;13:25;47;max;00251
1994-02-15;18:45;-10;min;00251
1994-02-16;1:25;57;max;00251
1994-02-16;7:40;1;min;00251
1994-02-16;13:15;40;max;00251
1994-02-16;18:35;-1;min;00251
1994-02-17;1:30;55;max;00251
1994-02-17;9:10;4;min;00251
1994-02-17;13:40;23;max;00251
1994-02-17;18:40;8;min;00251
1994-02-18;2:20;43;max;00251
1994-02-18;11:30;-7;min;00251
1994-02-18;17:25;23;max;00251
1994-02-18;21:00;19;min;00251
1994-02-19;3:50;48;max;00251
1994-02-19;10:30;4;min;00251
1994-02-20;5:05;44;max;00251
1994-02-20;13:30;-1;min;00251
1994-02-20;21:20;44;max;00251
1994-02-21;2:50;28;min;00251
1994-02-21;7:10;46;max;00251
1994-02-21;14:25;-20;min;00251
1994-02-21;21:10;48;max;00251
1994-02-22;2:35;13;min;00251
1994-02-22;7:45;48;max;00251
1994-02-22;14:55;-36;min;00251
1994-02-22;21:30;52;max;00251
1994-02-23;2:50;8;min;00251
1994-02-23;8:25;55;max;00251
1994-02-23;15:10;-36;min;00251
1994-02-23;22:15;67;max;00251
1994-02-24;3:40;15;min;00251
1994-02-24;9:05;63;max;00251
1994-02-24;16:05;-29;min;00251
1994-02-24;22:30;74;max;00251
1994-02-25;4:50;-12;min;00251
1994-02-25;10:20;52;max;00251
1994-02-25;16:35;-48;min;00251
1994-02-25;23:05;72;max;00251
1994-02-26;5:15;-26;min;00251
1994-02-26;10:50;54;max;00251
1994-02-26;16:45;-42;min;00251
1994-02-26;23:15;65;max;00251
1994-02-27;5:35;-31;min;00251
1994-02-27;11:30;48;max;00251
1994-02-27;17:35;-33;min;00251
1994-02-28;0:05;65;max;00251
1994-02-28;6:15;-28;min;00251
1994-02-28;12:20;57;max;00251
1994-02-28;18:15;-18;min;00251
1994-03-01;0:35;71;max;00251
1994-03-01;6:45;-18;min;00251
1994-03-01;12:55;57;max;00251
1994-03-01;18:15;4;min;00251
1994-03-02;0:45;80;max;00251
1994-03-02;8:05;-16;min;00251
1994-03-02;13:20;38;max;00251
1994-03-02;18:05;3;min;00251
1994-03-03;1:05;59;max;00251
1994-03-03;8:00;-19;min;00251
1994-03-03;14:05;22;max;00251
1994-03-03;19:05;7;min;00251
1994-03-04;1:50;39;max;00251
1994-03-04;10:00;-8;min;00251
1994-03-04;15:00;13;max;00251
1994-03-04;20:10;-4;min;00251
1994-03-05;3:55;16;max;00251
1994-03-05;12:40;-21;min;00251
1994-03-05;20:45;10;max;00251
1994-03-06;0:45;-2;min;00251
1994-03-06;6:30;20;max;00251
1994-03-06;14:00;-31;min;00251
