"Data;Ora;Valore;Tipo;ID staz"
"1991-01-01;4:40;-2;min;00251"
"1991-01-01;10:30;62;max;00251"
"1991-01-01;17:10;-63;min;00251"
"1991-01-01;0:00;42;max;00251"
"1991-01-02;5:40;-23;min;00251"
"1991-01-02;11:45;45;max;00251"
"1991-01-02;17:40;-56;min;00251"
"1991-01-03;0:30;41;max;00251"
"1991-01-03;6:00;-13;min;00251"
"1991-01-03;11:40;54;max;00251"
"1991-01-03;18:45;-44;min;00251"
"1991-01-04;1:40;43;max;00251"
"1991-01-04;6:50;-4;min;00251"
"1991-01-04;12:00;47;max;00251"
"1991-01-04;19:15;-42;min;00251"
"1991-01-05;2:15;52;max;00251"
"1991-01-05;7:50;9;min;00251"
"1991-01-05;12:35;39;max;00251"
"1991-01-05;19:05;-33;min;00251"
"1991-01-06;2:55;47;max;00251"
"1991-01-06;8:20;14;min;00251"
"1991-01-06;12:15;24;max;00251"
"1991-01-06;19:35;-16;min;00251"
"1991-01-07;3:45;51;max;00251"
"1991-01-07;10:55;0;min;00251"
"1991-01-07;14:40;13;max;00251"
"1991-01-07;19:35;-2;min;00251"
"1991-01-08;4:00;57;max;00251"
"1991-01-08;11:30;-1;min;00251"
"1991-01-09;3:45;43;max;00251"
"1991-01-09;13:55;-4;min;00251"
"1991-01-09;21:40;25;max;00251"
"1991-01-10;0:55;22;min;00251"
"1991-01-10;5:40;35;max;00251"
"1991-01-10;14:25;-24;min;00251"
"1991-01-10;21:05;30;max;00251"
"1991-01-11;1:30;15;min;00251"
"1991-01-11;7:20;41;max;00251"
"1991-01-11;14:35;-30;min;00251"
"1991-01-11;21:40;32;max;00251"
"1991-01-12;2:10;11;min;00251"
"1991-01-12;7:50;44;max;00251"
"1991-01-12;15:30;-33;min;00251"
"1991-01-12;22:30;36;max;00251"
"1991-01-13;3:00;15;min;00251"
"1991-01-13;8:45;52;max;00251"
"1991-01-13;15:55;-32;min;00251"
"1991-01-13;23:00;52;max;00251"
"1991-01-14;3:50;23;min;00251"
"1991-01-14;9:35;63;max;00251"
"1991-01-14;16:35;-21;min;00251"
"1991-01-14;23:20;54;max;00251"
"1991-01-15;4:50;16;min;00251"
"1991-01-15;10:15;68;max;00251"
"1991-01-15;17:20;-31;min;00251"
"1991-01-16;0:15;49;max;00251"
"1991-01-16;4:50;11;min;00251"
"1991-01-16;10:30;60;max;00251"
"1991-01-16;17:30;-47;min;00251"
"1991-01-17;0:10;44;max;00251"
"1991-01-17;5:30;3;min;00251"
"1991-01-17;10:55;51;max;00251"
"1991-01-17;17:40;-53;min;00251"
"1991-01-18;0:50;41;max;00251"
"1991-01-18;6:00;-7;min;00251"
"1991-01-18;11:15;46;max;00251"
"1991-01-18;18:15;-55;min;00251"
"1991-01-19;0:55;39;max;00251"
"1991-01-19;6:25;-16;min;00251"
"1991-01-19;11:55;38;max;00251"
"1991-01-19;18:25;-47;min;00251"
"1991-01-20;1:20;46;max;00251"
"1991-01-20;7:15;-10;min;00251"
"1991-01-20;12:10;36;max;00251"
"1991-01-20;19:00;-46;min;00251"
"1991-01-21;1:55;35;max;00251"
"1991-01-21;7:50;-19;min;00251"
"1991-01-21;13:00;22;max;00251"
"1991-01-21;19:10;-36;min;00251"
"1991-01-22;2:15;43;max;00251"
"1991-01-22;9:05;-15;min;00251"
"1991-01-22;13:35;7;max;00251"
"1991-01-22;19:10;-34;min;00251"
"1991-01-23;3:05;28;max;00251"
"1991-01-23;10:05;-28;min;00251"
"1991-01-23;14:30;-8;max;00251"
"1991-01-23;19:20;-25;min;00251"
"1991-01-24;3:50;23;max;00251"
"1991-01-24;12:10;-36;min;00251"
"1991-01-25;4:45;27;max;00251"
"1991-01-25;13:30;-44;min;00251"
"1991-01-25;21:30;8;max;00251"
"1991-01-26;1:20;-1;min;00251"
"1991-01-26;6:35;29;max;00251"
"1991-01-26;14:35;-57;min;00251"
"1991-01-26;21:50;11;max;00251"
"1991-01-27;2:50;-8;min;00251"
"1991-01-27;8:25;27;max;00251"
"1991-01-27;15:10;-68;min;00251"
"1991-01-27;22:05;27;max;00251"
"1991-01-28;3:05;-12;min;00251"
"1991-01-28;8:45;39;max;00251"
"1991-01-28;15:45;-68;min;00251"
"1991-01-28;22:50;23;max;00251"
"1991-01-29;3:55;-21;min;00251"
"1991-01-29;9:40;38;max;00251"
"1991-01-29;16:25;-84;min;00251"
"1991-01-29;23:25;27;max;00251"
"1991-01-30;4:25;-20;min;00251"
"1991-01-30;10:15;45;max;00251"
"1991-01-30;17:05;-84;min;00251"
"1991-01-30;0:00;39;max;00251"
"1991-01-31;5:15;-18;min;00251"
"1991-01-31;10:40;39;max;00251"
"1991-01-31;17:25;-81;min;00251"
"1991-02-01;0:40;44;max;00251"
"1991-02-01;6:15;-21;min;00251"
"1991-02-01;11:30;30;max;00251"
"1991-02-01;17:45;-68;min;00251"
"1991-02-02;1:00;42;max;00251"
"1991-02-02;6:45;-33;min;00251"
"1991-02-02;11:45;15;max;00251"
"1991-02-02;17:55;-60;min;00251"
"1991-02-03;1:10;33;max;00251"
"1991-02-03;7:35;-40;min;00251"
"1991-02-03;12:35;4;max;00251"
"1991-02-03;18:20;-45;min;00251"
"1991-02-04;1:30;34;max;00251"
"1991-02-04;7:50;-40;min;00251"
"1991-02-04;13:10;4;max;00251"
"1991-02-04;18:20;-33;min;00251"
"1991-02-05;2:10;33;max;00251"
"1991-02-05;8:15;-25;min;00251"
"1991-02-05;13:35;8;max;00251"
"1991-02-05;18:20;-20;min;00251"
"1991-02-06;2:10;27;max;00251"
"1991-02-06;8:15;-5;min;00251"
"1991-02-06;15:05;9;max;00251"
"1991-02-06;16:05;6;min;00251"
"1991-02-06;20:15;28;max;00251"
"1991-02-07;8:55;-31;min;00251"
"1991-02-07;17:30;34;max;00251"
"1991-02-07;23:30;11;min;00251"
"1991-02-08;7:55;35;max;00251"
"1991-02-08;9:45;28;min;00251"
"1991-02-08;12:00;38;max;00251"
"1991-02-08;17:50;6;min;00251"
"1991-02-08;18:40;8;max;00251"
"1991-02-08;22:10;1;min;00251"
"1991-02-09;7:40;55;max;00251"
"1991-02-09;16:30;-29;min;00251"
"1991-02-10;7:40;76;max;00251"
"1991-02-10;16:00;-36;min;00251"
"1991-02-10;23:15;55;max;00251"
"1991-02-11;3:15;32;min;00251"
"1991-02-11;7:55;59;max;00251"
"1991-02-11;15:45;-44;min;00251"
"1991-02-11;22:50;57;max;00251"
"1991-02-12;4:00;16;min;00251"
"1991-02-12;8:55;48;max;00251"
"1991-02-12;15:50;-31;min;00251"
"1991-02-12;22:40;69;max;00251"
"1991-02-13;4:55;3;min;00251"
"1991-02-13;9:50;54;max;00251"
"1991-02-13;16:35;-25;min;00251"
"1991-02-13;22:50;59;max;00251"
"1991-02-14;5:05;-17;min;00251"
"1991-02-14;10:50;52;max;00251"
"1991-02-14;17:10;-36;min;00251"
"1991-02-14;23:10;45;max;00251"
"1991-02-15;5:05;-33;min;00251"
"1991-02-15;11:00;52;max;00251"
"1991-02-15;17:05;-44;min;00251"
"1991-02-15;23:25;46;max;00251"
"1991-02-16;5:05;-4;min;00251"
"1991-02-16;11:20;74;max;00251"
"1991-02-16;17:50;-21;min;00251"
"1991-02-17;0:30;68;max;00251"
"1991-02-17;6:30;-2;min;00251"
"1991-02-17;11:25;49;max;00251"
"1991-02-17;18:20;-25;min;00251"
"1991-02-18;1:05;68;max;00251"
"1991-02-18;7:45;-12;min;00251"
"1991-02-18;12:50;51;max;00251"
"1991-02-18;18:35;-25;min;00251"
"1991-02-19;0:55;63;max;00251"
"1991-02-19;7:25;-21;min;00251"
"1991-02-19;12:40;33;max;00251"
"1991-02-19;18:30;-20;min;00251"
"1991-02-20;0:50;48;max;00251"
"1991-02-20;8:20;-17;min;00251"
"1991-02-20;13:45;16;max;00251"
"1991-02-20;19:05;-7;min;00251"
"1991-02-21;2:05;47;max;00251"
"1991-02-21;9:15;-19;min;00251"
"1991-02-21;14:10;20;max;00251"
"1991-02-21;18:20;-1;min;00251"
"1991-02-22;1:20;47;max;00251"
"1991-02-22;13:10;-10;min;00251"
"1991-02-22;20:55;27;max;00251"
"1991-02-23;0:35;20;min;00251"
"1991-02-23;5:30;36;max;00251"
"1991-02-23;13:35;-29;min;00251"
"1991-02-23;20:05;25;max;00251"
"1991-02-24;0:50;9;min;00251"
"1991-02-24;7:05;33;max;00251"
"1991-02-24;14:25;-42;min;00251"
"1991-02-24;21:25;23;max;00251"
"1991-02-25;2:15;1;min;00251"
"1991-02-25;7:55;40;max;00251"
"1991-02-25;15:15;-55;min;00251"
"1991-02-25;22:15;38;max;00251"
"1991-02-26;3:30;-2;min;00251"
"1991-02-26;8:35;44;max;00251"
