"Data;Ora;Valore;Tipo;ID staz"
"2008-01-01;4:30;34;max;00251"
"2008-01-01;13:05;-21;min;00251"
"2008-01-02;5:55;43;max;00251"
"2008-01-02;14:20;-26;min;00251"
"2008-01-03;6:00;50;max;00251"
"2008-01-03;14:35;-26;min;00251"
"2008-01-03;22:05;32;max;00251"
"2008-01-04;0:50;26;min;00251"
"2008-01-04;6:30;59;max;00251"
"2008-01-04;14:50;-19;min;00251"
"2008-01-04;23:00;51;max;00251"
"2008-01-05;2:50;35;min;00251"
"2008-01-05;7:10;61;max;00251"
"2008-01-05;15:40;-17;min;00251"
"2008-01-05;22:40;60;max;00251"
"2008-01-06;3:25;26;min;00251"
"2008-01-06;9:10;71;max;00251"
"2008-01-06;16:10;-17;min;00251"
"2008-01-06;22:45;54;max;00251"
"2008-01-07;3:50;6;min;00251"
"2008-01-07;9:35;67;max;00251"
"2008-01-07;16:50;-25;min;00251"
"2008-01-07;23:15;48;max;00251"
"2008-01-08;4:05;6;min;00251"
"2008-01-08;9:50;61;max;00251"
"2008-01-08;17:35;-44;min;00251"
"2008-01-09;0:00;42;max;00251"
"2008-01-09;4:45;6;min;00251"
"2008-01-09;10:15;65;max;00251"
"2008-01-09;17:45;-42;min;00251"
"2008-01-10;0:50;47;max;00251"
"2008-01-10;5:35;12;min;00251"
"2008-01-10;11:05;61;max;00251"
"2008-01-10;18:10;-46;min;00251"
"2008-01-11;1:35;55;max;00251"
"2008-01-11;6:25;10;min;00251"
"2008-01-11;11:40;58;max;00251"
"2008-01-11;18:15;-35;min;00251"
"2008-01-12;2:05;73;max;00251"
"2008-01-12;7:25;25;min;00251"
"2008-01-12;12:05;73;max;00251"
"2008-01-12;18:10;9;min;00251"
"2008-01-13;2:00;92;max;00251"
"2008-01-13;8:45;15;min;00251"
"2008-01-13;13:15;49;max;00251"
"2008-01-13;18:50;-2;min;00251"
"2008-01-14;2:20;70;max;00251"
"2008-01-14;8:50;2;min;00251"
"2008-01-14;14:05;41;max;00251"
"2008-01-14;19:50;-2;min;00251"
"2008-01-15;3:05;61;max;00251"
"2008-01-15;9:40;6;min;00251"
"2008-01-15;14:50;38;max;00251"
"2008-01-15;20:15;4;min;00251"
"2008-01-16;4:25;69;max;00251"
"2008-01-16;11:40;22;min;00251"
"2008-01-16;16:10;34;max;00251"
"2008-01-16;18:55;29;min;00251"
"2008-01-17;6:10;82;max;00251"
"2008-01-17;14:25;9;min;00251"
"2008-01-17;20:30;36;max;00251"
"2008-01-17;23:10;31;min;00251"
"2008-01-18;6:50;85;max;00251"
"2008-01-18;15:00;-23;min;00251"
"2008-01-18;21:30;34;max;00251"
"2008-01-19;0:30;27;min;00251"
"2008-01-19;6:45;66;max;00251"
"2008-01-19;15:10;-36;min;00251"
"2008-01-19;23:00;47;max;00251"
"2008-01-20;3:10;29;min;00251"
"2008-01-20;8:00;57;max;00251"
"2008-01-20;16:00;-46;min;00251"
"2008-01-20;23:05;57;max;00251"
"2008-01-21;4:00;16;min;00251"
"2008-01-21;9:20;60;max;00251"
"2008-01-21;16:30;-44;min;00251"
"2008-01-21;23:25;61;max;00251"
"2008-01-22;4:30;13;min;00251"
"2008-01-22;10:30;73;max;00251"
"2008-01-22;17:15;-33;min;00251"
"2008-01-22;23:35;57;max;00251"
"2008-01-23;5:05;-10;min;00251"
"2008-01-23;11:00;57;max;00251"
"2008-01-23;17:50;-44;min;00251"
"2008-01-24;0:30;49;max;00251"
"2008-01-24;5:45;-14;min;00251"
"2008-01-24;11:20;52;max;00251"
"2008-01-24;18:30;-47;min;00251"
"2008-01-25;1:00;42;max;00251"
"2008-01-25;6:20;-7;min;00251"
"2008-01-25;11:40;49;max;00251"
"2008-01-25;18:35;-54;min;00251"
"2008-01-26;1:25;41;max;00251"
"2008-01-26;7:00;-6;min;00251"
"2008-01-26;12:00;41;max;00251"
"2008-01-26;18:50;-50;min;00251"
"2008-01-27;2:05;50;max;00251"
"2008-01-27;7:50;-6;min;00251"
"2008-01-27;12:40;34;max;00251"
"2008-01-27;18:40;-28;min;00251"
"2008-01-28;1:50;60;max;00251"
"2008-01-28;8:35;-10;min;00251"
"2008-01-28;12:50;10;max;00251"
"2008-01-28;18:20;-35;min;00251"
"2008-01-29;2:40;53;max;00251"
"2008-01-29;9:35;-17;min;00251"
"2008-01-29;13:20;-1;max;00251"
"2008-01-29;17:15;-14;min;00251"
"2008-01-30;2:15;50;max;00251"
"2008-01-30;10:55;-10;min;00251"
"2008-01-31;2:05;49;max;00251"
"2008-01-31;11:35;-10;min;00251"
"2008-01-31;22:25;37;max;00251"
"2008-02-01;2:20;27;min;00251"
"2008-02-01;4:40;29;max;00251"
"2008-02-01;13:40;-7;min;00251"
"2008-02-01;21:40;38;max;00251"
"2008-02-02;2:15;24;min;00251"
"2008-02-02;7:55;40;max;00251"
"2008-02-02;15:20;-8;min;00251"
"2008-02-02;21:35;45;max;00251"
"2008-02-03;2:30;19;min;00251"
"2008-02-03;8:10;51;max;00251"
"2008-02-03;15:40;-19;min;00251"
"2008-02-03;22:25;45;max;00251"
"2008-02-04;3:00;17;min;00251"
"2008-02-04;8:55;69;max;00251"
"2008-02-04;16:10;-24;min;00251"
"2008-02-04;23:05;61;max;00251"
"2008-02-05;3:40;36;min;00251"
"2008-02-05;9:05;80;max;00251"
"2008-02-05;16:50;-51;min;00251"
"2008-02-06;0:15;49;max;00251"
"2008-02-06;4:05;24;min;00251"
"2008-02-06;9:30;65;max;00251"
"2008-02-06;16:45;-56;min;00251"
"2008-02-07;0:00;65;max;00251"
"2008-02-07;5:40;5;min;00251"
"2008-02-07;9:50;38;max;00251"
"2008-02-07;16:50;-60;min;00251"
"2008-02-08;0:15;64;max;00251"
"2008-02-08;6:15;-19;min;00251"
"2008-02-08;11:10;28;max;00251"
"2008-02-08;17:15;-53;min;00251"
"2008-02-09;0:15;53;max;00251"
"2008-02-09;6:20;-28;min;00251"
"2008-02-09;11:45;33;max;00251"
"2008-02-09;17:50;-41;min;00251"
"2008-02-10;0:40;49;max;00251"
"2008-02-10;7:00;-24;min;00251"
"2008-02-10;12:45;35;max;00251"
"2008-02-10;18:40;-37;min;00251"
"2008-02-11;1:30;49;max;00251"
"2008-02-11;7:30;-24;min;00251"
"2008-02-11;13:00;32;max;00251"
"2008-02-11;18:55;-35;min;00251"
