data;ora solare;valore;tipo
19/02/2016;02:10;0.25;min
19/02/2016;08:20;0.73;max
19/02/2016;15:45;-0.16;min
19/02/2016;22:20;0.65;max
20/02/2016;03:20;0.23;min
20/02/2016;08:20;0.70;max
20/02/2016;16:15;-0.36;min
20/02/2016;22:30;0.62;max
21/02/2016;03:30;0.16;min
21/02/2016;09:40;0.64;max
21/02/2016;16:45;-0.36;min
21/02/2016;23:20;0.58;max
22/02/2016;04:35;0.07;min
22/02/2016;09:45;0.56;max
22/02/2016;16:30;-0.34;min
22/02/2016;23:45;0.73;max
23/02/2016;05:25;0.08;min
23/02/2016;10:35;0.65;max
23/02/2016;17:05;-0.21;min
23/02/2016;23:40;0.82;max
24/02/2016;05:30;-0.01;min
24/02/2016;11:50;0.63;max
24/02/2016;17:45;-0.19;min
25/02/2016;00:00;0.69;max
25/02/2016;06:05;-0.05;min
25/02/2016;11:55;0.60;max
25/02/2016;17:50;-0.01;min
26/02/2016;00:20;0.66;max
26/02/2016;06:15;-0.03;min
26/02/2016;12:45;0.61;max
26/02/2016;18:50;-0.05;min
27/02/2016;01:10;0.62;max
27/02/2016;06:55;0.03;min
27/02/2016;12:30;0.64;max
27/02/2016;18:40;0.00;min
28/02/2016;01:35;0.72;max
28/02/2016;07:00;0.27;min
28/02/2016;12:55;0.69;max
28/02/2016;18:35;0.20;min
29/02/2016;04:15;1.04;max
29/02/2016;10:10;0.56;min
29/02/2016;11:35;0.66;max
29/02/2016;18:50;-0.06;min
01/03/2016;03:10;0.91;max
01/03/2016;15:45;0.08;min
02/03/2016;01:35;0.78;max
02/03/2016;11:55;-0.01;min
03/03/2016;04:15;1.00;max
03/03/2016;12:50;0.11;min
03/03/2016;19:20;0.62;max
04/03/2016;00:10;0.27;min
04/03/2016;05:20;0.68;max
04/03/2016;13:15;0.14;min
04/03/2016;20:05;0.56;max
05/03/2016;01:10;0.40;min
05/03/2016;08:40;0.79;max
05/03/2016;14:35;0.45;min
05/03/2016;23:00;1.21;max
06/03/2016;02:50;0.61;min
06/03/2016;08:15;0.89;max
06/03/2016;15:30;-0.16;min
06/03/2016;22:40;1.04;max
07/03/2016;04:20;0.27;min
07/03/2016;09:25;0.80;max
07/03/2016;15:20;-0.01;min
07/03/2016;22:20;0.96;max
08/03/2016;04:45;0.08;min
08/03/2016;10:30;0.75;max
08/03/2016;16:25;0.13;min
08/03/2016;23:00;0.87;max
09/03/2016;05:10;-0.03;min
09/03/2016;11:30;0.91;max
09/03/2016;17:40;0.01;min
09/03/2016;23:30;0.82;max
10/03/2016;05:40;-0.07;min
10/03/2016;11:45;0.88;max
10/03/2016;18:00;-0.08;min
11/03/2016;00:00;0.79;max
11/03/2016;06:20;0.04;min
11/03/2016;11:55;0.78;max
11/03/2016;18:20;-0.11;min
12/03/2016;00:55;0.76;max
12/03/2016;07:10;0.01;min
12/03/2016;12:35;0.55;max
12/03/2016;18:00;0.01;min
13/03/2016;01:05;0.81;max
13/03/2016;07:55;0.03;min
13/03/2016;13:30;0.48;max
13/03/2016;18:35;0.20;min
14/03/2016;01:30;0.68;max
14/03/2016;09:10;-0.04;min
14/03/2016;14:45;0.47;max
14/03/2016;20:05;0.29;min
15/03/2016;01:40;0.59;max
15/03/2016;10:00;0.02;min
15/03/2016;17:15;0.48;max
