"Data;Ora;Valore;Tipo;ID staz"
"1996-01-01;1:15;52;min;00251"
"1996-01-01;8:25;97;max;00251"
"1996-01-01;15:10;24;min;00251"
"1996-01-01;21:15;63;max;00251"
"1996-01-02;1:20;48;min;00251"
"1996-01-02;8:25;104;max;00251"
"1996-01-02;16:00;8;min;00251"
"1996-01-02;22:10;72;max;00251"
"1996-01-03;3:00;40;min;00251"
"1996-01-03;8:35;86;max;00251"
"1996-01-03;15:55;-18;min;00251"
"1996-01-03;22:50;86;max;00251"
"1996-01-04;3:50;43;min;00251"
"1996-01-04;8:50;79;max;00251"
"1996-01-04;16:05;-18;min;00251"
"1996-01-04;23:10;78;max;00251"
"1996-01-05;4:30;32;min;00251"
"1996-01-05;10:00;78;max;00251"
"1996-01-05;16:45;-7;min;00251"
"1996-01-05;23:45;84;max;00251"
"1996-01-06;5:00;31;min;00251"
"1996-01-06;10:55;96;max;00251"
"1996-01-06;17:20;12;min;00251"
"1996-01-06;23:30;86;max;00251"
"1996-01-07;5:05;36;min;00251"
"1996-01-07;11:15;105;max;00251"
"1996-01-07;18:05;8;min;00251"
"1996-01-08;0:45;81;max;00251"
"1996-01-08;5:25;41;min;00251"
"1996-01-08;11:30;103;max;00251"
"1996-01-08;18:45;4;min;00251"
"1996-01-09;1:35;87;max;00251"
"1996-01-09;6:30;40;min;00251"
"1996-01-09;11:30;86;max;00251"
"1996-01-09;18:45;-12;min;00251"
"1996-01-10;1:35;83;max;00251"
"1996-01-10;7:10;32;min;00251"
"1996-01-10;11:55;71;max;00251"
"1996-01-10;18:40;-1;min;00251"
"1996-01-11;1:50;83;max;00251"
"1996-01-11;8:35;27;min;00251"
"1996-01-11;12:50;55;max;00251"
"1996-01-11;18:55;9;min;00251"
"1996-01-12;2:05;80;max;00251"
"1996-01-12;8:50;23;min;00251"
"1996-01-12;13:30;49;max;00251"
"1996-01-12;20:35;23;min;00251"
"1996-01-13;2:45;63;max;00251"
"1996-01-13;9:35;16;min;00251"
"1996-01-13;14:55;39;max;00251"
"1996-01-13;21:10;16;min;00251"
"1996-01-14;4:25;55;max;00251"
"1996-01-14;11:30;12;min;00251"
"1996-01-14;16:55;31;max;00251"
"1996-01-14;22:55;11;min;00251"
"1996-01-15;5:35;52;max;00251"
