data;ora solare;valore (m);tipo
02/08/2017;02:25;0.03;min
02/08/2017;09:05;0.40;max
02/08/2017;12:55;0.28;min
02/08/2017;18:45;0.66;max
03/08/2017;02:45;-0.07;min
03/08/2017;09:30;0.48;max
03/08/2017;13:55;0.26;min
03/08/2017;19:50;0.70;max
04/08/2017;03:05;-0.09;min
04/08/2017;09:55;0.56;max
04/08/2017;14:25;0.28;min
04/08/2017;20:30;0.75;max
05/08/2017;03:55;-0.10;min
05/08/2017;10:35;0.63;max
05/08/2017;15:30;0.25;min
05/08/2017;21:10;0.79;max
06/08/2017;04:20;-0.14;min
06/08/2017;11:05;0.67;max
06/08/2017;16:05;0.20;min
06/08/2017;22:10;0.85;max
07/08/2017;04:25;-0.18;min
07/08/2017;11:05;0.65;max
07/08/2017;15:15;0.30;min
07/08/2017;22:10;0.78;max
08/08/2017;05:15;-0.21;min
08/08/2017;12:20;0.73;max
08/08/2017;17:25;0.23;min
08/08/2017;23:05;0.79;max
09/08/2017;05:45;-0.15;min
09/08/2017;12:30;0.80;max
09/08/2017;18:00;0.19;min
09/08/2017;23:30;0.82;max
10/08/2017;06:00;-0.15;min
10/08/2017;12:25;0.74;max
10/08/2017;18:45;0.13;min
10/08/2017;23:00;0.75;max
11/08/2017;07:00;-0.17;min
11/08/2017;13:05;0.73;max
11/08/2017;19:15;0.11;min
12/08/2017;00:45;0.59;max
12/08/2017;07:15;-0.19;min
12/08/2017;13:35;0.55;max
12/08/2017;20:00;0.08;min
13/08/2017;01:00;0.45;max
13/08/2017;07:45;-0.14;min
13/08/2017;14:35;0.61;max
13/08/2017;21:35;0.02;min
14/08/2017;02:25;0.24;max
14/08/2017;07:30;0.01;min
14/08/2017;14:55;0.61;max
14/08/2017;22:25;-0.11;min
15/08/2017;05:05;0.23;max
15/08/2017;08:15;0.16;min
15/08/2017;15:30;0.48;max
15/08/2017;23:35;-0.14;min
16/08/2017;07:15;0.33;max
16/08/2017;11:50;0.17;min
16/08/2017;17:00;0.43;max
17/08/2017;01:10;-0.12;min
17/08/2017;07:55;0.37;max
17/08/2017;13:00;0.14;min
17/08/2017;19:35;0.53;max
18/08/2017;02:40;-0.19;min
18/08/2017;09:10;0.45;max
18/08/2017;14:15;0.10;min
18/08/2017;20:25;0.71;max
19/08/2017;03:25;-0.22;min
19/08/2017;09:30;0.60;max
19/08/2017;14:50;0.11;min
19/08/2017;21:50;0.82;max
20/08/2017;03:35;-0.36;min
20/08/2017;10:05;0.61;max
20/08/2017;15:45;0.08;min
20/08/2017;21:45;0.78;max
21/08/2017;04:40;-0.34;min
21/08/2017;11:35;0.61;max
21/08/2017;16:35;0.05;min
21/08/2017;22:30;0.61;max
22/08/2017;05:15;-0.35;min
22/08/2017;11:40;0.73;max
22/08/2017;17:40;-0.03;min
22/08/2017;23:10;0.53;max
23/08/2017;05:20;-0.28;min
23/08/2017;12:05;0.75;max
23/08/2017;18:10;-0.08;min
24/08/2017;00:00;0.54;max
24/08/2017;05:55;-0.18;min
24/08/2017;12:25;0.68;max
24/08/2017;18:15;-0.11;min
25/08/2017;00:20;0.57;max
25/08/2017;06:20;-0.10;min
25/08/2017;12:45;0.57;max
25/08/2017;18:25;-0.07;min
26/08/2017;00:30;0.51;max
26/08/2017;06:55;-0.11;min
26/08/2017;13:15;0.53;max
26/08/2017;19:30;0.02;min
27/08/2017;00:40;0.46;max
27/08/2017;06:50;-0.05;min
27/08/2017;14:15;0.54;max
27/08/2017;20:00;0.10;min
28/08/2017;01:05;0.35;max
28/08/2017;07:00;0.03;min
28/08/2017;14:55;0.56;max
28/08/2017;22:00;0.06;min
29/08/2017;01:00;0.22;max
29/08/2017;05:10;0.12;min
29/08/2017;06:35;0.23;max
29/08/2017;08:40;0.12;min
29/08/2017;15:35;0.57;max
29/08/2017;23:25;0.03;min
30/08/2017;14:45;0.56;max
31/08/2017;01:05;0.05;min
31/08/2017;08:50;0.58;max
31/08/2017;14:25;0.41;min
31/08/2017;17:55;0.55;max
01/09/2017;01:35;0.05;min
01/09/2017;08:55;0.64;max
01/09/2017;13:10;0.34;min
01/09/2017;18:45;0.72;max
02/09/2017;02:05;0.04;min
02/09/2017;09:20;0.64;max
02/09/2017;15:20;0.25;min
02/09/2017;20:30;0.85;max
03/09/2017;03:50;-0.03;min
03/09/2017;10:25;0.53;max
03/09/2017;14:45;0.31;min
03/09/2017;20:55;0.83;max
04/09/2017;04:05;-0.18;min
04/09/2017;11:05;0.65;max
04/09/2017;15:50;0.27;min
04/09/2017;21:15;0.75;max
05/09/2017;04:25;-0.26;min
05/09/2017;11:30;0.75;max
05/09/2017;16:50;0.11;min
05/09/2017;22:10;0.68;max
06/09/2017;04:35;-0.26;min
06/09/2017;11:30;0.80;max
06/09/2017;17:20;0.05;min
06/09/2017;23:05;0.70;max
07/09/2017;05:00;-0.14;min
07/09/2017;11:45;0.84;max
07/09/2017;18:00;0.08;min
07/09/2017;23:40;0.76;max
08/09/2017;05:35;-0.14;min
08/09/2017;12:15;0.74;max
08/09/2017;17:45;0.04;min
09/09/2017;00:00;0.70;max
09/09/2017;06:20;-0.12;min
09/09/2017;12:45;0.81;max
09/09/2017;18:35;0.14;min
10/09/2017;00:45;0.72;max
10/09/2017;05:50;0.13;min
10/09/2017;13:10;0.93;max
10/09/2017;19:35;0.26;min
11/09/2017;00:40;0.67;max
11/09/2017;07:20;0.22;min
11/09/2017;13:45;1.03;max
11/09/2017;21:45;0.36;min
12/09/2017;00:30;0.55;max
12/09/2017;05:40;0.32;min
12/09/2017;15:35;0.84;max
12/09/2017;23:00;0.10;min
13/09/2017;04:30;0.39;max
13/09/2017;08:10;0.30;min
13/09/2017;15:20;0.76;max
14/09/2017;00:10;0.02;min
14/09/2017;07:55;0.54;max
14/09/2017;11:25;0.50;min
14/09/2017;15:30;0.65;max
15/09/2017;01:25;0.12;min
15/09/2017;08:35;0.64;max
15/09/2017;14:05;0.32;min
15/09/2017;19:35;0.70;max
16/09/2017;02:05;0.01;min
16/09/2017;08:55;0.75;max
16/09/2017;13:55;0.29;min
16/09/2017;19:55;0.85;max
17/09/2017;03:20;0.00;min
17/09/2017;09:10;0.72;max
17/09/2017;14:20;0.21;min
17/09/2017;20:45;0.78;max
18/09/2017;03:55;-0.09;min
18/09/2017;09:55;0.71;max
18/09/2017;15:40;0.12;min
18/09/2017;21:45;0.74;max
19/09/2017;04:15;-0.15;min
19/09/2017;10:45;0.81;max
19/09/2017;16:30;0.06;min
19/09/2017;22:35;0.69;max
20/09/2017;04:30;-0.15;min
20/09/2017;11:15;0.89;max
20/09/2017;17:25;0.02;min
20/09/2017;22:35;0.60;max
21/09/2017;04:30;-0.10;min
21/09/2017;11:15;0.85;max
21/09/2017;17:40;-0.11;min
21/09/2017;23:45;0.59;max
22/09/2017;05:15;0.01;min
22/09/2017;11:30;0.78;max
22/09/2017;18:10;-0.15;min
23/09/2017;00:15;0.58;max
23/09/2017;05:55;0.01;min
23/09/2017;11:50;0.68;max
23/09/2017;18:15;-0.14;min
24/09/2017;00:35;0.59;max
24/09/2017;06:35;0.03;min
24/09/2017;12:10;0.63;max
24/09/2017;18:00;-0.04;min
25/09/2017;00:25;0.51;max
25/09/2017;06:10;0.03;min
25/09/2017;12:45;0.62;max
25/09/2017;19:45;0.08;min
26/09/2017;00:55;0.35;max
26/09/2017;06:30;0.12;min
26/09/2017;13:40;0.62;max
26/09/2017;20:50;0.05;min
27/09/2017;13:25;0.59;max
27/09/2017;21:35;0.02;min
28/09/2017;11:45;0.45;max
29/09/2017;00:10;0.03;min
29/09/2017;08:30;0.51;max
29/09/2017;14:25;0.27;min
29/09/2017;17:30;0.33;max
30/09/2017;01:20;0.02;min
30/09/2017;08:25;0.59;max
30/09/2017;14:30;0.17;min
30/09/2017;19:20;0.47;max
01/10/2017;01:50;-0.02;min
01/10/2017;08:45;0.62;max
01/10/2017;14:40;0.08;min
01/10/2017;20:00;0.50;max
02/10/2017;02:25;-0.12;min
02/10/2017;09:05;0.59;max
02/10/2017;15:15;0.00;min
02/10/2017;20:35;0.54;max
03/10/2017;02:50;-0.16;min
03/10/2017;09:50;0.64;max
03/10/2017;15:45;-0.02;min
03/10/2017;21:10;0.59;max
04/10/2017;04:00;-0.26;min
04/10/2017;10:30;0.62;max
04/10/2017;16:20;-0.15;min
04/10/2017;22:15;0.60;max
05/10/2017;04:20;-0.29;min
05/10/2017;10:50;0.70;max
05/10/2017;16:45;-0.18;min
05/10/2017;22:40;0.67;max
06/10/2017;04:45;-0.20;min
06/10/2017;11:15;0.75;max
06/10/2017;17:15;-0.07;min
06/10/2017;23:00;0.64;max
07/10/2017;05:10;-0.19;min
07/10/2017;11:40;0.62;max
07/10/2017;17:40;-0.23;min
07/10/2017;23:40;0.53;max
08/10/2017;05:25;-0.04;min
08/10/2017;12:10;0.78;max
08/10/2017;18:35;-0.12;min
09/10/2017;00:40;0.55;max
09/10/2017;05:50;0.03;min
09/10/2017;12:30;0.79;max
09/10/2017;19:25;-0.12;min
10/10/2017;01:30;0.56;max
10/10/2017;06:35;0.18;min
10/10/2017;12:30;0.74;max
10/10/2017;20:05;-0.05;min
11/10/2017;02:20;0.44;max
11/10/2017;06:40;0.23;min
11/10/2017;13:05;0.56;max
11/10/2017;20:45;-0.02;min
12/10/2017;04:50;0.41;max
12/10/2017;08:25;0.30;min
12/10/2017;13:20;0.39;max
12/10/2017;23:30;-0.04;min
13/10/2017;06:55;0.43;max
13/10/2017;12:55;0.17;min
13/10/2017;18:15;0.36;max
14/10/2017;00:25;-0.16;min
14/10/2017;07:30;0.45;max
14/10/2017;13:50;0.06;min
14/10/2017;18:50;0.37;max
15/10/2017;01:30;-0.23;min
15/10/2017;08:20;0.52;max
15/10/2017;14:20;-0.03;min
15/10/2017;20:00;0.40;max
16/10/2017;02:15;-0.22;min
16/10/2017;09:00;0.58;max
16/10/2017;15:05;-0.14;min
16/10/2017;21:05;0.46;max
17/10/2017;02:50;-0.22;min
17/10/2017;09:20;0.63;max
17/10/2017;15:45;-0.20;min
17/10/2017;21:35;0.51;max
18/10/2017;03:30;-0.18;min
18/10/2017;09:50;0.68;max
18/10/2017;16:05;-0.21;min
18/10/2017;22:15;0.55;max
19/10/2017;04:00;-0.14;min
19/10/2017;10:15;0.68;max
19/10/2017;16:35;-0.24;min
19/10/2017;22:45;0.57;max
20/10/2017;04:20;-0.10;min
20/10/2017;10:45;0.69;max
20/10/2017;17:05;-0.22;min
20/10/2017;23:20;0.57;max
21/10/2017;05:10;-0.05;min
21/10/2017;11:00;0.70;max
21/10/2017;17:45;-0.20;min
21/10/2017;23:30;0.58;max
22/10/2017;05:15;0.02;min
22/10/2017;11:30;0.81;max
22/10/2017;17:10;0.01;min
22/10/2017;23:10;0.54;max
23/10/2017;06:00;0.09;min
23/10/2017;11:00;0.59;max
23/10/2017;19:50;-0.02;min
24/10/2017;00:30;0.39;max
24/10/2017;05:55;-0.09;min
24/10/2017;12:20;0.51;max
24/10/2017;19:10;-0.18;min
25/10/2017;02:00;0.32;max
25/10/2017;06:15;0.17;min
25/10/2017;12:35;0.58;max
25/10/2017;20:00;-0.12;min
26/10/2017;03:05;0.37;max
26/10/2017;07:15;0.28;min
26/10/2017;12:20;0.51;max
26/10/2017;19:45;-0.06;min
27/10/2017;07:15;0.44;max
27/10/2017;20:45;0.09;min
28/10/2017;06:25;0.38;max
28/10/2017;12:20;0.15;min
28/10/2017;19:40;0.32;max
29/10/2017;00:45;0.03;min
29/10/2017;07:35;0.54;max
29/10/2017;13:25;0.20;min
29/10/2017;19:30;0.60;max
30/10/2017;00:00;0.16;min
30/10/2017;07:00;0.63;max
30/10/2017;13:45;0.17;min
30/10/2017;18:50;0.53;max
31/10/2017;01:25;-0.06;min
31/10/2017;08:55;0.61;max
31/10/2017;15:20;0.07;min
31/10/2017;20:15;0.42;max
01/11/2017;02:15;-0.23;min
01/11/2017;09:05;0.73;max
01/11/2017;15:35;-0.15;min
01/11/2017;20:50;0.46;max
02/11/2017;02:25;-0.19;min
02/11/2017;09:10;0.80;max
02/11/2017;15:55;-0.24;min
02/11/2017;21:45;0.54;max
03/11/2017;03:05;-0.06;min
03/11/2017;09:30;0.79;max
03/11/2017;16:05;-0.31;min
03/11/2017;22:25;0.59;max
04/11/2017;03:55;-0.05;min
04/11/2017;10:00;0.76;max
04/11/2017;16:45;-0.31;min
04/11/2017;22:55;0.65;max
05/11/2017;04:20;0.03;min
05/11/2017;11:35;0.96;max
05/11/2017;17:15;0.24;min
05/11/2017;23:35;1.27;max
06/11/2017;06:00;0.35;min
06/11/2017;11:15;0.87;max
06/11/2017;17:50;0.00;min
07/11/2017;00:15;0.87;max
07/11/2017;05:00;0.33;min
07/11/2017;11:20;1.03;max
07/11/2017;18:50;0.04;min
08/11/2017;01:30;0.74;max
08/11/2017;06:40;0.37;min
08/11/2017;12:20;0.75;max
08/11/2017;19:25;0.09;min
09/11/2017;02:30;0.58;max
09/11/2017;07:15;0.33;min
09/11/2017;13:05;0.59;max
09/11/2017;21:20;-0.02;min
10/11/2017;03:35;0.50;max
10/11/2017;08:15;0.26;min
10/11/2017;14:05;0.52;max
10/11/2017;21:50;0.04;min
11/11/2017;05:20;0.54;max
11/11/2017;11:50;0.30;min
11/11/2017;16:00;0.39;max
11/11/2017;23:50;0.11;min
12/11/2017;06:20;0.68;max
12/11/2017;14:00;0.22;min
12/11/2017;19:40;0.59;max
13/11/2017;00:10;0.27;min
13/11/2017;06:10;0.81;max
13/11/2017;14:00;0.23;min
13/11/2017;19:20;0.63;max
13/11/2017;23:55;0.24;min
14/11/2017;07:30;0.89;max
14/11/2017;15:20;0.09;min
14/11/2017;21:40;0.71;max
15/11/2017;02:30;0.30;min
15/11/2017;08:25;0.99;max
15/11/2017;15:10;0.02;min
15/11/2017;22:00;0.73;max
16/11/2017;03:00;0.19;min
16/11/2017;08:50;0.76;max
16/11/2017;15:35;-0.07;min
16/11/2017;21:55;0.75;max
17/11/2017;03:40;0.10;min
17/11/2017;09:35;0.76;max
17/11/2017;15:45;-0.03;min
17/11/2017;22:05;0.67;max
18/11/2017;03:45;0.12;min
18/11/2017;09:55;0.82;max
18/11/2017;17:30;-0.13;min
18/11/2017;22:55;0.58;max
19/11/2017;04:00;0.10;min
19/11/2017;10:30;0.88;max
19/11/2017;17:25;-0.09;min
19/11/2017;23:30;0.58;max
20/11/2017;04:35;0.15;min
20/11/2017;10:50;0.80;max
20/11/2017;17:30;-0.19;min
21/11/2017;00:25;0.58;max
21/11/2017;05:00;0.24;min
21/11/2017;10:45;0.78;max
21/11/2017;18:00;-0.14;min
22/11/2017;01:05;0.61;max
22/11/2017;05:45;0.30;min
22/11/2017;10:55;0.67;max
22/11/2017;18:20;-0.15;min
23/11/2017;01:15;0.56;max
23/11/2017;06:10;0.28;min
23/11/2017;12:00;0.57;max
23/11/2017;18:45;-0.10;min
24/11/2017;01:45;0.51;max
24/11/2017;06:50;0.25;min
24/11/2017;11:55;0.51;max
24/11/2017;19:05;-0.04;min
25/11/2017;02:40;0.47;max
25/11/2017;08:00;0.37;min
25/11/2017;12:35;0.51;max
25/11/2017;19:35;0.29;min
26/11/2017;05:00;0.67;max
26/11/2017;09:35;0.40;min
26/11/2017;11:10;0.46;max
26/11/2017;17:00;0.26;min
26/11/2017;18:40;0.30;max
26/11/2017;22:50;0.15;min
27/11/2017;07:15;0.51;max
27/11/2017;13:15;0.13;min
27/11/2017;17:25;0.32;max
27/11/2017;23:00;0.00;min
28/11/2017;07:05;0.68;max
28/11/2017;13:25;0.12;min
28/11/2017;18:40;0.44;max
29/11/2017;00:10;0.08;min
29/11/2017;07:30;0.90;max
29/11/2017;14:15;0.28;min
29/11/2017;19:45;0.69;max
30/11/2017;01:30;0.25;min
30/11/2017;08:35;0.97;max
30/11/2017;15:10;0.03;min
30/11/2017;21:05;0.67;max
01/12/2017;02:20;0.16;min
01/12/2017;09:00;0.94;max
01/12/2017;15:30;-0.07;min
01/12/2017;21:35;0.71;max
02/12/2017;03:05;0.14;min
02/12/2017;09:35;0.90;max
02/12/2017;16:05;-0.06;min
02/12/2017;22:45;0.71;max
03/12/2017;03:50;0.23;min
03/12/2017;10:20;0.97;max
03/12/2017;17:20;-0.25;min
03/12/2017;23:40;0.66;max
04/12/2017;04:40;0.18;min
04/12/2017;10:30;0.88;max
04/12/2017;17:50;-0.39;min
05/12/2017;00:20;0.60;max
05/12/2017;05:10;0.10;min
05/12/2017;10:55;0.74;max
05/12/2017;18:20;-0.47;min
06/12/2017;00:50;0.50;max
06/12/2017;05:50;0.08;min
06/12/2017;11:25;0.62;max
06/12/2017;18:50;-0.43;min
07/12/2017;01:50;0.46;max
07/12/2017;06:50;0.11;min
07/12/2017;11:50;0.47;max
07/12/2017;19:25;-0.34;min
08/12/2017;03:05;0.53;max
08/12/2017;07:55;0.19;min
08/12/2017;13:00;0.50;max
08/12/2017;20:05;-0.01;min
09/12/2017;03:45;0.62;max
09/12/2017;11:00;0.08;min
09/12/2017;14:30;0.28;max
09/12/2017;20:00;-0.12;min
10/12/2017;03:55;0.53;max
10/12/2017;09:55;0.18;min
10/12/2017;18:25;0.40;max
10/12/2017;20:15;0.37;min
11/12/2017;07:15;0.78;max
11/12/2017;12:15;0.42;min
11/12/2017;20:10;0.81;max
12/12/2017;00:40;0.60;min
12/12/2017;06:15;1.02;max
12/12/2017;14:25;0.18;min
12/12/2017;20:05;0.51;max
13/12/2017;00:20;0.15;min
13/12/2017;06:25;0.79;max
13/12/2017;14:30;-0.03;min
13/12/2017;20:45;0.47;max
14/12/2017;01:15;0.28;min
14/12/2017;07:55;0.77;max
14/12/2017;15:05;0.03;min
14/12/2017;21:20;0.66;max
15/12/2017;02:35;0.24;min
15/12/2017;09:05;0.95;max
15/12/2017;16:10;0.03;min
15/12/2017;22:10;0.76;max
16/12/2017;02:25;0.25;min
16/12/2017;08:40;0.86;max
16/12/2017;16:35;-0.15;min
16/12/2017;22:45;0.68;max
17/12/2017;04:05;0.25;min
17/12/2017;09:30;0.78;max
17/12/2017;16:25;-0.17;min
17/12/2017;22:50;0.65;max
18/12/2017;04:20;0.14;min
18/12/2017;09:50;0.66;max
18/12/2017;17:00;-0.13;min
18/12/2017;23:25;0.54;max
19/12/2017;04:55;0.05;min
19/12/2017;10:45;0.67;max
19/12/2017;17:50;-0.29;min
20/12/2017;00:15;0.44;max
20/12/2017;04:50;0.07;min
20/12/2017;10:55;0.67;max
20/12/2017;18:10;-0.37;min
21/12/2017;01:00;0.37;max
21/12/2017;05:35;0.06;min
21/12/2017;11:15;0.50;max
21/12/2017;18:35;-0.49;min
22/12/2017;01:30;0.33;max
22/12/2017;07:00;0.03;min
22/12/2017;11:20;0.31;max
22/12/2017;18:40;-0.57;min
23/12/2017;01:45;0.36;max
23/12/2017;06:55;0.03;min
23/12/2017;12:05;0.30;max
23/12/2017;18:30;-0.34;min
24/12/2017;02:30;0.39;max
24/12/2017;09:05;0.07;min
24/12/2017;12:35;0.19;max
24/12/2017;20:00;-0.21;min
25/12/2017;03:40;0.46;max
25/12/2017;10:05;0.06;min
25/12/2017;14:20;0.22;max
25/12/2017;20:05;-0.09;min
26/12/2017;04:25;0.48;max
26/12/2017;10:45;0.09;min
26/12/2017;15:45;0.26;max
26/12/2017;21:10;0.07;min
27/12/2017;06:20;0.64;max
27/12/2017;11:50;0.24;min
27/12/2017;18:20;0.77;max
28/12/2017;00:10;0.61;min
28/12/2017;05:00;0.88;max
28/12/2017;14:55;-0.02;min
28/12/2017;20:20;0.64;max
29/12/2017;00:55;0.36;min
29/12/2017;06:40;0.63;max
29/12/2017;14:05;-0.12;min
29/12/2017;20:55;0.65;max
30/12/2017;02:30;0.17;min
30/12/2017;08:05;0.68;max
30/12/2017;15:20;-0.14;min
30/12/2017;21:20;0.61;max
31/12/2017;02:55;0.05;min
31/12/2017;09:00;0.78;max
31/12/2017;16:25;-0.21;min
31/12/2017;22:25;0.56;max
