Data;Ora solare;Valore;Tipo
26/02/2011;14:00;-9; min
26/02/2011;21:40;50; max
27/02/2011;01:55;38; min
27/02/2011;06:20;55; max
27/02/2011;14:30;-5; min
27/02/2011;21:30;61; max
28/02/2011;02:10;27; min
28/02/2011;07:50;61; max
28/02/2011;14:35;4; min
28/02/2011;21:55;63; max
01/03/2011;03:20;23; min
01/03/2011;09:20;65; max
01/03/2011;15:10;16; min
01/03/2011;22:25;85; max
02/03/2011;04:20;29; min
02/03/2011;10:05;89; max
02/03/2011;16:40;6; min
02/03/2011;22:40;64; max
03/03/2011;04:15;14; min
03/03/2011;10:10;76; max
03/03/2011;16:35;-18; min
03/03/2011;23:25;60; max
04/03/2011;04:40;0; min
04/03/2011;10:25;58; max
04/03/2011;17:00;-33; min
04/03/2011;23:15;55; max
05/03/2011;05:25;-7; min
05/03/2011;10:50;56; max
05/03/2011;17:15;-25; min
05/03/2011;23:55;66; max
06/03/2011;05:45;-12; min
06/03/2011;11:15;49; max
06/03/2011;17:05;-23; min
06/03/2011;23:45;71; max
07/03/2011;06:35;-7; min
07/03/2011;11:30;37; max
07/03/2011;17:35;-34; min
08/03/2011;00:30;55; max
08/03/2011;07:10;-30; min
08/03/2011;12:20;24; max
08/03/2011;17:45;-31; min
09/03/2011;00:25;47; max
09/03/2011;07:10;-28; min
09/03/2011;12:35;22; max
09/03/2011;17:50;-19; min
10/03/2011;00:25;48; max
10/03/2011;07:45;-29; min
10/03/2011;13:35;20; max
10/03/2011;18:20;-8; min
11/03/2011;00:45;46; max
11/03/2011;08:00;-22; min
11/03/2011;14:25;15; max
11/03/2011;18:20;-1; min
12/03/2011;00:55;38; max
12/03/2011;08:45;-15; min
13/03/2011;00:50;35; max
13/03/2011;11:25;0; min
13/03/2011;20:20;45; max
13/03/2011;23:30;43; min
14/03/2011;04:45;51; max
14/03/2011;13:45;-14; min
14/03/2011;21:45;33; max
15/03/2011;01:20;22; min
15/03/2011;07:00;48; max
15/03/2011;13:55;-20; min
15/03/2011;21:35;51; max
16/03/2011;02:15;21; min
16/03/2011;09:05;69; max
16/03/2011;14:30;17; min
16/03/2011;22:05;96; max
17/03/2011;03:45;29; min
17/03/2011;08:50;85; max
17/03/2011;16:05;-20; min
17/03/2011;22:25;81; max
18/03/2011;04:05;7; min
18/03/2011;09:45;72; max
18/03/2011;15:55;-24; min
18/03/2011;22:30;80; max
19/03/2011;04:50;-11; min
19/03/2011;10:25;57; max
19/03/2011;16:30;-21; min
19/03/2011;23:05;79; max
20/03/2011;05:45;-23; min
20/03/2011;11:30;49; max
20/03/2011;17:00;-21; min
20/03/2011;23:30;72; max
21/03/2011;06:05;-26; min
21/03/2011;12:25;47; max
21/03/2011;17:45;-8; min
21/03/2011;23:45;78; max
22/03/2011;06:45;-27; min
22/03/2011;12:45;43; max
22/03/2011;18:10;-12; min
23/03/2011;00:35;59; max
23/03/2011;06:50;-34; min
23/03/2011;12:55;29; max
23/03/2011;18:25;-17; min
24/03/2011;00:35;45; max
