"Data;Ora;Valore;Tipo;ID staz"
"2004-01-01;6:15;61;max;00251"
"2004-01-01;14:20;15;min;00251"
"2004-01-01;19:15;41;max;00251"
"2004-01-01;23:45;19;min;00251"
"2004-01-02;7:15;74;max;00251"
"2004-01-02;15:15;6;min;00251"
"2004-01-02;21:25;45;max;00251"
"2004-01-03;1:10;31;min;00251"
"2004-01-03;7:55;84;max;00251"
"2004-01-03;15:20;-10;min;00251"
"2004-01-03;21:25;44;max;00251"
"2004-01-04;1:55;29;min;00251"
"2004-01-04;8:05;78;max;00251"
"2004-01-04;15:55;-21;min;00251"
"2004-01-04;22:40;46;max;00251"
"2004-01-05;2:30;32;min;00251"
"2004-01-05;8:50;73;max;00251"
"2004-01-05;16:20;-21;min;00251"
"2004-01-05;23:15;58;max;00251"
"2004-01-06;4:05;25;min;00251"
"2004-01-06;9:20;65;max;00251"
"2004-01-06;16:45;-40;min;00251"
"2004-01-06;23:25;47;max;00251"
"2004-01-07;4:15;8;min;00251"
"2004-01-07;9:40;70;max;00251"
"2004-01-07;17:00;-43;min;00251"
"2004-01-07;23:50;52;max;00251"
"2004-01-08;4:40;11;min;00251"
"2004-01-08;9:55;66;max;00251"
"2004-01-08;17:25;-45;min;00251"
"2004-01-09;0:15;54;max;00251"
"2004-01-09;5:05;13;min;00251"
"2004-01-09;10:30;73;max;00251"
"2004-01-09;18:00;-29;min;00251"
"2004-01-10;0:45;54;max;00251"
"2004-01-10;5:40;18;min;00251"
"2004-01-10;11:15;63;max;00251"
"2004-01-10;18:35;-44;min;00251"
"2004-01-11;1:05;38;max;00251"
"2004-01-11;6:20;1;min;00251"
"2004-01-11;11:55;52;max;00251"
"2004-01-11;19:10;-33;min;00251"
"2004-01-12;2:10;55;max;00251"
"2004-01-12;7:30;17;min;00251"
"2004-01-12;12:30;57;max;00251"
"2004-01-12;19:10;-19;min;00251"
"2004-01-13;2:50;76;max;00251"
"2004-01-13;8:05;22;min;00251"
"2004-01-13;12:15;41;max;00251"
"2004-01-13;18:35;-1;min;00251"
"2004-01-14;2:55;85;max;00251"
"2004-01-14;9:55;11;min;00251"
"2004-01-14;14:30;29;max;00251"
"2004-01-14;19:55;16;min;00251"
"2004-01-15;3:10;72;max;00251"
"2004-01-15;11:10;-5;min;00251"
"2004-01-15;14:15;10;max;00251"
"2004-01-15;21:50;-18;min;00251"
"2004-01-16;5:00;98;max;00251"
"2004-01-16;13:15;-11;min;00251"
"2004-01-17;4:25;92;max;00251"
"2004-01-17;14:05;-2;min;00251"
"2004-01-17;22:50;71;max;00251"
"2004-01-18;3:50;45;min;00251"
"2004-01-18;6:25;53;max;00251"
"2004-01-18;15:20;-5;min;00251"
"2004-01-18;22:25;80;max;00251"
"2004-01-19;3:45;19;min;00251"
"2004-01-19;9:05;60;max;00251"
"2004-01-19;15:15;-18;min;00251"
"2004-01-19;22:05;57;max;00251"
"2004-01-20;3:40;5;min;00251"
"2004-01-20;9:45;85;max;00251"
"2004-01-20;16:45;-18;min;00251"
"2004-01-20;22:40;46;max;00251"
"2004-01-21;3:25;1;min;00251"
"2004-01-21;9:55;88;max;00251"
"2004-01-21;17:55;-49;min;00251"
"2004-01-22;0:00;35;max;00251"
"2004-01-22;4:35;-1;min;00251"
"2004-01-22;10:25;62;max;00251"
"2004-01-22;17:30;-72;min;00251"
"2004-01-23;1:00;49;max;00251"
"2004-01-23;5:50;9;min;00251"
"2004-01-23;10:45;60;max;00251"
"2004-01-23;18:10;-62;min;00251"
"2004-01-24;1:15;55;max;00251"
"2004-01-24;6:25;0;min;00251"
"2004-01-24;11:30;44;max;00251"
"2004-01-24;18:15;-52;min;00251"
"2004-01-25;1:35;60;max;00251"
"2004-01-25;7:25;5;min;00251"
"2004-01-25;12:00;44;max;00251"
"2004-01-25;18:45;-38;min;00251"
"2004-01-26;2:10;60;max;00251"
"2004-01-26;7:50;5;min;00251"
"2004-01-26;12:40;43;max;00251"
"2004-01-26;19:00;-20;min;00251"
"2004-01-27;2:35;66;max;00251"
"2004-01-27;8:45;23;min;00251"
"2004-01-27;12:40;52;max;00251"
"2004-01-27;20:35;-10;min;00251"
"2004-01-28;3:55;76;max;00251"
"2004-01-28;10:55;29;min;00251"
"2004-01-28;13:00;32;max;00251"
"2004-01-28;19:15;-7;min;00251"
"2004-01-29;2:45;81;max;00251"
"2004-01-29;13:50;18;min;00251"
"2004-01-29;15:55;20;max;00251"
"2004-01-29;18:25;13;min;00251"
"2004-01-30;3:30;63;max;00251"
"2004-01-30;14:30;-11;min;00251"
"2004-01-30;21:20;35;max;00251"
"2004-01-30;23:25;29;min;00251"
"2004-01-31;4:20;40;max;00251"
"2004-01-31;14:00;-17;min;00251"
"2004-01-31;20:40;43;max;00251"
"2004-02-01;1:05;26;min;00251"
"2004-02-01;6:35;44;max;00251"
"2004-02-01;14:10;-18;min;00251"
"2004-02-01;21:30;39;max;00251"
"2004-02-02;2:20;13;min;00251"
"2004-02-02;7:20;39;max;00251"
"2004-02-02;15:20;-28;min;00251"
"2004-02-02;21:50;43;max;00251"
"2004-02-03;3:00;6;min;00251"
"2004-02-03;8:25;44;max;00251"
"2004-02-03;16:10;-52;min;00251"
"2004-02-03;22:30;33;max;00251"
"2004-02-04;3:05;-2;min;00251"
"2004-02-04;9:00;53;max;00251"
"2004-02-04;16:05;-54;min;00251"
"2004-02-04;23:30;36;max;00251"
"2004-02-05;4:05;4;min;00251"
"2004-02-05;9:25;47;max;00251"
"2004-02-05;16:55;-61;min;00251"
"2004-02-05;23:50;47;max;00251"
"2004-02-06;5:10;-5;min;00251"
"2004-02-06;10:25;43;max;00251"
"2004-02-06;17:00;-63;min;00251"
"2004-02-07;0:00;51;max;00251"
"2004-02-07;5:35;-14;min;00251"
"2004-02-07;10:40;47;max;00251"
"2004-02-07;17:30;-49;min;00251"
"2004-02-08;0:10;57;max;00251"
"2004-02-08;6:10;-17;min;00251"
"2004-02-08;11:35;43;max;00251"
"2004-02-08;18:05;-41;min;00251"
"2004-02-09;0:35;59;max;00251"
"2004-02-09;7:15;-27;min;00251"
"2004-02-09;12:35;33;max;00251"
"2004-02-09;18:20;-45;min;00251"
"2004-02-10;1:20;48;max;00251"
"2004-02-10;7:25;-31;min;00251"
"2004-02-10;12:35;34;max;00251"
"2004-02-10;18:55;-47;min;00251"
"2004-02-11;1:45;43;max;00251"
"2004-02-11;7:30;-18;min;00251"
"2004-02-11;12:20;36;max;00251"
"2004-02-11;19:05;-28;min;00251"
