data;ora solare;valore;tipo;;
13/02/2013;00:15;1.04;max;;
13/02/2013;07:45;-0.02;min;;
13/02/2013;13:15;0.57;max;;
13/02/2013;18:15;0.11;min;;
14/02/2013;00:20;0.76;max;;
14/02/2013;07:20;-0.09;min;;
14/02/2013;13:15;0.58;max;;
14/02/2013;19:10;0.09;min;;
15/02/2013;01:25;0.55;max;;
15/02/2013;07:30;0.02;min;;
15/02/2013;13:35;0.62;max;;
15/02/2013;19:45;0.04;min;;
16/02/2013;01:50;0.54;max;;
16/02/2013;07:50;0.12;min;;
16/02/2013;12:55;0.45;max;;
16/02/2013;19:15;0.02;min;;
17/02/2013;02:40;0.51;max;;
17/02/2013;09:45;0.16;min;;
17/02/2013;14:05;0.26;max;;
17/02/2013;18:15;0.12;min;;
18/02/2013;03:20;0.50;max;;
18/02/2013;12:35;0.03;min;;
19/02/2013;03:10;0.47;max;;
19/02/2013;13:20;-0.05;min;;
19/02/2013;23:00;0.40;max;;
20/02/2013;01:50;0.35;min;;
20/02/2013;06:55;0.50;max;;
20/02/2013;14:10;-0.10;min;;
20/02/2013;21:20;0.49;max;;
21/02/2013;01:50;0.31;min;;
21/02/2013;07:40;0.52;max;;
21/02/2013;14:30;-0.04;min;;
21/02/2013;21:45;0.57;max;;
22/02/2013;02:50;0.24;min;;
22/02/2013;08:45;0.59;max;;
22/02/2013;15:40;-0.09;min;;
22/02/2013;22:10;0.67;max;;
23/02/2013;03:45;0.23;min;;
23/02/2013;08:50;0.75;max;;
23/02/2013;15:55;-0.14;min;;
23/02/2013;23:40;1.01;max;;
24/02/2013;05:35;0.56;min;;
24/02/2013;09:35;0.78;max;;
24/02/2013;16:00;-0.14;min;;
24/02/2013;23:10;1.00;max;;
25/02/2013;05:35;0.03;min;;
25/02/2013;10:40;0.60;max;;
25/02/2013;16:45;-0.14;min;;
25/02/2013;22:55;0.74;max;;
26/02/2013;05:15;-0.22;min;;
26/02/2013;11:25;0.60;max;;
26/02/2013;17:25;-0.16;min;;
26/02/2013;23:05;0.58;max;;
27/02/2013;05:25;-0.30;min;;
27/02/2013;11:45;0.62;max;;
27/02/2013;18:10;-0.19;min;;
28/02/2013;00:05;0.48;max;;
