Data;Ora solare;Valore ;Tipo
2012-02-24;06:05;-33; min
2012-02-24;11:45;27; max
2012-02-24;17:30;-44; min
2012-02-25;00:20;41; max
2012-02-25;06:35;-26; min
2012-02-25;12:05;27; max
2012-02-25;17:50;-29; min
2012-02-26;00:40;48; max
2012-02-26;07:10;-23; min
2012-02-26;12:25;29; max
2012-02-26;18:05;-21; min
2012-02-27;00:45;39; max
2012-02-27;07:45;-37; min
2012-02-27;13:45;11; max
2012-02-27;18:50;-17; min
2012-02-28;01:05;36; max
2012-02-28;08:00;-32; min
2012-02-28;14:00;10; max
2012-02-28;18:40;-14; min
2012-02-29;00:45;33; max
2012-02-29;08:30;-25; min
2012-02-29;13:20;-7; max
2012-02-29;17:25;-15; min
2012-03-01;01:55;35; max
2012-03-01;13:30;-27; min
2012-03-02;04:45;32; max
2012-03-02;12:50;-33; min
2012-03-02;21:50;34; max
2012-03-03;02:20;22; min
2012-03-03;05:05;26; max
2012-03-03;13:20;-36; min
2012-03-03;21:15;38; max
2012-03-04;03:05;3; min
2012-03-04;07:30;23; max
2012-03-04;14:15;-31; min
2012-03-04;21:30;46; max
2012-03-05;03:35;-4; min
2012-03-05;09:05;38; max
2012-03-05;15:10;-27; min
2012-03-05;21:50;51; max
2012-03-06;03:35;-8; min
2012-03-06;09:50;60; max
2012-03-06;16:10;-17; min
2012-03-06;22:05;54; max
2012-03-07;04:20;-29; min
2012-03-07;10:25;49; max
2012-03-07;16:30;-36; min
2012-03-07;22:45;49; max
2012-03-08;04:35;-27; min
2012-03-08;11:00;60; max
2012-03-08;17:10;-37; min
2012-03-08;23:05;44; max
2012-03-09;05:00;-31; min
2012-03-09;11:25;54; max
2012-03-09;17:55;-41; min
2012-03-09;23:55;34; max
2012-03-10;06:00;-44; min
2012-03-10;11:35;32; max
2012-03-10;17:50;-56; min
2012-03-11;00:25;43; max
2012-03-11;06:45;-34; min
2012-03-11;12:10;15; max
2012-03-11;17:55;-47; min
2012-03-12;01:05;44; max
2012-03-12;07:35;-37; min
2012-03-12;12:35;6; max
2012-03-12;17:15;-25; min
2012-03-13;00:55;45; max
2012-03-13;08:40;-37; min
2012-03-14;01:20;45; max
2012-03-14;09:35;-41; min
2012-03-15;01:30;30; max
2012-03-15;09:50;-30; min
2012-03-15;19:30;29; max
2012-03-16;12:35;-16; min
2012-03-16;20:15;40; max
2012-03-17;02:25;1; min
2012-03-17;07:25;28; max
2012-03-17;13:30;-19; min
2012-03-17;21:05;46; max
2012-03-18;02:40;0; min
2012-03-18;08:10;40; max
2012-03-18;14:40;-19; min
2012-03-18;21:35;60; max
2012-03-19;03:25;1; min
2012-03-19;08:50;47; max
2012-03-19;15:15;-24; min
2012-03-19;21:55;56; max
2012-03-20;04:20;-21; min
2012-03-20;09:10;27; max
2012-03-20;15:25;-39; min
2012-03-20;22:10;46; max
2012-03-21;04:35;-38; min
2012-03-21;10:05;22; max
2012-03-21;15:50;-39; min
2012-03-21;22:25;44; max
2012-03-22;04:45;-41; min
2012-03-22;10:40;30; max
2012-03-22;16:20;-34; min
2012-03-22;22:40;46; max
2012-03-23;05:10;-41; min
2012-03-23;11:10;33; max
2012-03-23;16:50;-31; min
2012-03-23;23:10;46; max
2012-03-24;05:45;-43; min
2012-03-24;11:45;31; max
2012-03-24;17:15;-32; min
2012-03-24;23:25;44; max
2012-03-25;06:00;-42; min
2012-03-25;12:10;26; max
2012-03-25;17:20;-27; min
2012-03-25;23:40;42; max
2012-03-26;06:35;-39; min
2012-03-26;12:05;20; max
2012-03-26;17:30;-20; min
2012-03-26;23:50;38; max
2012-03-27;07:00;-35; min
2012-03-27;13:30;19; max
2012-03-27;18:10;-14; min
2012-03-28;00:10;34; max
2012-03-28;07:35;-33; min
2012-03-28;14:05;11; max
2012-03-28;18:30;-3; min
2012-03-29;00:40;35; max
2012-03-29;08:15;-15; min
2012-03-29;16:30;20; max
2012-03-29;18:40;16; min
2012-03-30;01:40;42; max
2012-03-30;09:45;-8; min
2012-03-30;21:50;35; max
2012-03-31;10:50;-1; min
2012-03-31;19:55;57; max
2012-04-01;05:30;25;min
2012-04-01;08:20;35;max
2012-04-01;14:00;3;min
2012-04-01;19:30;54;max
2012-04-02;03:00;-1;min
2012-04-02;08:25;35;max
2012-04-02;13:45;-4;min
2012-04-02;20:35;60;max
2012-04-03;02:50;-4;min
2012-04-03;08:30;53;max
2012-04-03;14:45;-9;min
2012-04-03;21:10;67;max
2012-04-04;03:10;-6;min
2012-04-04;09:10;62;max
2012-04-04;15:10;-12;min
2012-04-04;21:30;69;max
2012-04-05;03:45;-8;min
2012-04-05;09:55;63;max
2012-04-05;15:45;-14;min
2012-04-05;22:05;73;max
2012-04-06;04:40;-18;min
2012-04-06;11:00;58;max
2012-04-06;16:35;-9;min
2012-04-06;22:40;83;max
2012-04-07;05:20;-22;min
2012-04-07;11:25;61;max
2012-04-07;16:30;7;min
2012-04-07;22:55;88;max
2012-04-08;05:40;-21;min
2012-04-08;12:20;66;max
2012-04-08;16:55;18;min
2012-04-08;23:15;81;max
2012-04-09;06:40;-27;min
2012-04-09;12:55;51;max
2012-04-09;18:15;7;min
2012-04-10;00:15;63;max
2012-04-10;06:50;-16;min
2012-04-10;13:15;55;max
2012-04-10;18:25;13;min
2012-04-11;01:00;73;max
2012-04-11;07:35;8;min
2012-04-11;15:10;78;max
2012-04-11;21:10;60;min
2012-04-11;23:35;81;max
2012-04-12;08:35;-3;min
2012-04-12;17:20;69;max
2012-04-13;08:25;11;min
2012-04-13;19:25;73;max
2012-04-14;01:40;35;min
2012-04-14;07:05;55;max
2012-04-14;12:05;31;min
2012-04-14;18:55;83;max
2012-04-15;01:55;30;min
2012-04-15;07:25;57;max
2012-04-15;12:45;23;min
2012-04-15;19:55;80;max
2012-04-16;02:30;25;min
2012-04-16;07:50;66;max
2012-04-16;13:45;20;min
2012-04-16;20:40;77;max
2012-04-17;03:15;23;min
2012-04-17;08:40;63;max
2012-04-17;14:30;13;min
2012-04-17;21:30;78;max
2012-04-18;04:05;5;min
2012-04-18;09:20;58;max
2012-04-18;14:40;5;min
2012-04-18;22:05;102;max
2012-04-19;04:40;15;min
2012-04-19;09:20;61;max
2012-04-19;14:30;20;min
2012-04-19;22:15;101;max
2012-04-20;04:55;2;min
2012-04-20;10:50;65;max
2012-04-20;15:20;32;min
2012-04-20;22:10;102;max
2012-04-21;05:35;-9;min
2012-04-21;11:55;75;max
2012-04-21;16:45;32;min
2012-04-21;22:10;91;max
2012-04-22;05:20;-10;min
2012-04-22;11:40;81;max
2012-04-22;17:05;32;min
2012-04-22;22:25;84;max
2012-04-23;05:50;-11;min
2012-04-23;12:40;69;max
2012-04-23;17:20;33;min
2012-04-23;22:40;79;max
2012-04-24;06:00;-4;min
2012-04-24;12:35;85;max
2012-04-24;18:10;47;min
2012-04-24;23:05;80;max
2012-04-25;06:45;-16;min
2012-04-25;13:40;68;max
2012-04-25;18:40;29;min
2012-04-25;23:20;62;max
2012-04-26;06:25;-9;min
2012-04-26;13:25;51;max
2012-04-26;19:00;24;min
2012-04-27;00:15;45;max
2012-04-27;07:50;-9;min
2012-04-27;15:15;34;max
2012-04-27;20:10;18;min
2012-04-28;00:30;35;max
2012-04-28;09:10;-8;min
2012-04-28;16:50;42;max
2012-04-28;22:00;25;min
2012-04-29;01:45;33;max
2012-04-29;10:40;-6;min
2012-04-29;17:55;49;max
2012-04-29;23:30;20;min
2012-04-30;04:25;32;max
2012-04-30;11:20;-7;min
2012-04-30;19:15;55;max
2012-05-01;02:00;10; min
2012-05-01;06:45;27; max
2012-05-01;12:45;-11; min
2012-05-01;18:30;62; max
2012-05-02;02:35;-6; min
2012-05-02;07:20;30; max
2012-05-02;13:20;-15; min
2012-05-02;20:15;66; max
2012-05-03;03:10;-16; min
2012-05-03;09:05;36; max
2012-05-03;14:10;-4; min
2012-05-03;20:50;76; max
2012-05-04;04:00;-22; min
2012-05-04;10:00;50; max
2012-05-04;14:45;0; min
2012-05-04;21:30;89; max
2012-05-05;04:30;-27; min
2012-05-05;10:30;54; max
2012-05-05;15:55;11; min
2012-05-05;21:50;90; max
2012-05-06;05:05;-31; min
2012-05-06;11:35;54; max
2012-05-06;16:00;19; min
2012-05-06;22:35;84; max
2012-05-07;05:55;-31; min
2012-05-07;12:30;57; max
2012-05-07;17:15;17; min
2012-05-07;23:05;73; max
2012-05-08;06:00;-36; min
2012-05-08;12:55;49; max
2012-05-08;17:45;12; min
2012-05-08;23:45;63; max
2012-05-09;06:55;-26; min
2012-05-09;13:50;46; max
2012-05-09;19:00;12; min
2012-05-10;00:25;54; max
2012-05-10;07:15;-30; min
2012-05-10;14:40;36; max
2012-05-10;19:25;11; min
2012-05-11;00:40;45; max
2012-05-11;08:10;-26; min
2012-05-11;16:35;36; max
2012-05-11;21:35;20; min
2012-05-12;01:30;29; max
2012-05-12;09:00;-20; min
2012-05-12;18:15;47; max
2012-05-13;00:20;18; min
2012-05-13;03:25;39; max
2012-05-13;05:35;29; min
2012-05-13;07:00;34; max
2012-05-13;12:20;8; min
2012-05-13;18:15;57; max
2012-05-14;02:55;13; min
2012-05-14;06:25;23; max
2012-05-14;10:55;-5; min
2012-05-14;19:40;64; max
2012-05-15;02:10;-3; min
2012-05-15;07:05;30; max
2012-05-15;12:35;-2; min
2012-05-15;19:50;71; max
2012-05-16;02:35;8; min
2012-05-16;07:20;37; max
2012-05-16;13:15;-12; min
2012-05-16;19:55;52; max
2012-05-17;02:50;-29; min
2012-05-17;10:25;39; max
2012-05-17;14:50;5; min
2012-05-17;20:50;55; max
2012-05-18;03:35;-27; min
2012-05-18;09:55;55; max
2012-05-18;15:10;-2; min
2012-05-18;21:00;59; max
2012-05-19;03:45;-24; min
2012-05-19;10:05;51; max
2012-05-19;15:15;-2; min
2012-05-19;21:45;65; max
2012-05-20;04:30;-18; min
2012-05-20;10:35;48; max
2012-05-20;15:15;6; min
2012-05-20;22:05;67; max
2012-05-21;05:15;-23; min
2012-05-21;12:35;68; max
2012-05-21;17:25;49; min
2012-05-21;21:50;82; max
2012-05-22;05:35;-28; min
2012-05-22;12:30;74; max
2012-05-22;17:40;37; min
2012-05-22;22:15;72; max
2012-05-23;05:35;-24; min
2012-05-23;12:35;69; max
2012-05-23;18:10;23; min
2012-05-23;22:45;58; max
2012-05-24;05:35;-18; min
2012-05-24;12:55;57; max
2012-05-24;18:30;13; min
2012-05-24;23:55;57; max
2012-05-25;07:20;-11; min
2012-05-25;13:45;49; max
2012-05-25;18:30;16; min
2012-05-26;00:25;60; max
2012-05-26;07:45;-14; min
2012-05-26;15:05;48; max
2012-05-26;19:15;26; min
2012-05-27;00:20;57; max
2012-05-27;08:15;-13; min
2012-05-27;16:05;55; max
2012-05-27;21:20;33; min
2012-05-28;00:40;41; max
2012-05-28;08:55;-6; min
2012-05-28;17:40;64; max
2012-05-29;01:25;16; min
2012-05-29;04:10;22; max
2012-05-29;10:25;0; min
2012-05-29;17:40;72; max
2012-05-30;01:25;3; min
2012-05-30;06:30;30; max
2012-05-30;11:20;2; min
2012-05-30;18:20;72; max
2012-05-31;01:45;-10; min
2012-05-31;08:15;31; max
2012-05-31;12:40;10; min
2012-05-31;19:15;66; max
2012-06-01;02:55;-21; min
2012-06-01;09:15;49; max
2012-06-01;14:00;12; min
2012-06-01;20:10;82; max
2012-06-02;03:30;-22; min
2012-06-02;09:55;53; max
2012-06-02;14:20;16; min
2012-06-02;20:50;86; max
2012-06-03;04:15;-27; min
2012-06-03;11:05;55; max
2012-06-03;15:15;23; min
2012-06-03;21:35;90; max
2012-06-04;04:50;-29; min
2012-06-04;11:35;63; max
2012-06-04;16:00;30; min
2012-06-04;22:00;83; max
2012-06-05;05:25;-42; min
2012-06-05;12:35;62; max
2012-06-05;17:35;25; min
2012-06-05;22:20;74; max
2012-06-06;06:05;-34; min
2012-06-06;13:10;69; max
2012-06-06;18:25;21; min
2012-06-06;23:15;68; max
2012-06-07;06:25;-28; min
2012-06-07;13:50;59; max
2012-06-07;18:30;21; min
2012-06-07;23:55;62; max
2012-06-08;07:10;-21; min
2012-06-08;14:35;58; max
2012-06-08;19:50;23; min
2012-06-09;00:40;56; max
2012-06-09;07:40;-19; min
2012-06-09;15:30;63; max
2012-06-09;20:45;29; min
2012-06-10;01:05;50; max
2012-06-10;07:20;-7; min
2012-06-10;16:05;64; max
2012-06-10;23:00;20; min
2012-06-11;01:50;29; max
2012-06-11;08:25;4; min
2012-06-11;17:10;70; max
2012-06-12;01:05;19; min
2012-06-12;06:15;30; max
2012-06-12;09:30;20; min
2012-06-12;18:35;70; max
2012-06-13;01:50;3; min
2012-06-13;07:30;24; max
2012-06-13;09:20;22; min
2012-06-13;19:15;63; max
2012-06-14;02:30;-10; min
2012-06-14;08:25;33; max
2012-06-14;12:35;12; min
2012-06-14;19:10;65; max
2012-06-15;02:40;-20; min
2012-06-15;08:55;33; max
2012-06-15;13:20;10; min
2012-06-15;19:35;54; max
2012-06-16;03:15;-27; min
2012-06-16;09:55;34; max
2012-06-16;14:20;9; min
2012-06-16;20:35;57; max
2012-06-17;03:45;-29; min
2012-06-17;10:15;40; max
