data;ora solare;valore;tipo;
16/02/2014;17:10;0.10;min;
17/02/2014;00:05;1.07;max;
17/02/2014;06:05;0.36;min;
17/02/2014;11:30;0.87;max;
17/02/2014;18:05;0.12;min;
18/02/2014;00:30;0.85;max;
18/02/2014;06:40;0.05;min;
18/02/2014;12:30;0.68;max;
18/02/2014;18:25;0.06;min;
19/02/2014;00:45;0.77;max;
19/02/2014;07:05;0.17;min;
19/02/2014;13:30;0.84;max;
19/02/2014;19:10;0.33;min;
20/02/2014;00:55;0.80;max;
20/02/2014;07:00;0.08;min;
20/02/2014;13:40;0.60;max;
20/02/2014;19:35;0.18;min;
21/02/2014;01:15;0.60;max;
21/02/2014;08:05;0.13;min;
21/02/2014;13:55;0.47;max;
21/02/2014;20:00;0.22;min;
22/02/2014;03:15;0.59;max;
22/02/2014;09:55;0.15;min;
22/02/2014;15:35;0.33;max;
22/02/2014;20:40;0.17;min;
23/02/2014;03:45;0.56;max;
23/02/2014;12:00;0.05;min;
23/02/2014;20:00;0.23;max;
23/02/2014;22:50;0.18;min;
24/02/2014;05:35;0.45;max;
24/02/2014;14:30;-0.15;min;
24/02/2014;21:05;0.36;max;
25/02/2014;01:30;0.17;min;
25/02/2014;07:15;0.53;max;
25/02/2014;14:55;-0.25;min;
25/02/2014;21:40;0.53;max;
26/02/2014;02:45;0.17;min;
26/02/2014;08:10;0.58;max;
26/02/2014;15:15;-0.29;min;
26/02/2014;21:55;0.63;max;
27/02/2014;03:45;0.08;min;
27/02/2014;09:05;0.58;max;
27/02/2014;15:40;-0.31;min;
27/02/2014;22:30;0.69;max;
28/02/2014;04:25;-0.02;min;
28/02/2014;10:05;0.61;max;
28/02/2014;16:15;-0.28;min;
28/02/2014;23:10;0.80;max;
01/03/2014;05:10;0.01;min;
01/03/2014;11:10;0.84;max;
01/03/2014;16:30;0.26;min;
01/03/2014;22:35;1.05;max;
02/03/2014;06:20;-0.12;min;
02/03/2014;12:10;0.68;max;
02/03/2014;17:40;0.06;min;
02/03/2014;23:35;0.84;max;
03/03/2014;06:10;-0.12;min;
03/03/2014;12:30;0.80;max;
03/03/2014;18:05;0.09;min;
04/03/2014;00:15;0.81;max;
04/03/2014;06:15;0.13;min;
04/03/2014;12:55;1.10;max;
04/03/2014;18:30;0.34;min;
05/03/2014;00:00;0.75;max;
05/03/2014;06:40;0.23;min;
05/03/2014;12:30;0.76;max;
05/03/2014;19:00;0.09;min;
06/03/2014;01:55;0.66;max;
06/03/2014;08:15;0.22;min;
06/03/2014;12:50;0.46;max;
06/03/2014;19:25;0.07;min;
07/03/2014;01:50;0.70;max;
07/03/2014;10:05;0.11;min;
07/03/2014;15:05;0.29;max;
07/03/2014;18:05;0.20;min;
08/03/2014;01:10;0.61;max;
08/03/2014;11:40;0.04;min;
08/03/2014;23:30;0.44;max;
09/03/2014;12:30;-0.07;min;
09/03/2014;20:20;0.43;max;
10/03/2014;01:00;0.22;min;
10/03/2014;06:50;0.42;max;
10/03/2014;12:35;-0.03;min;
10/03/2014;19:35;0.51;max;
11/03/2014;01:45;0.15;min;
11/03/2014;07:15;0.46;max;
11/03/2014;14:45;0.01;min;
11/03/2014;20:40;0.44;max;
12/03/2014;02:25;0.05;min;
12/03/2014;08:45;0.46;max;
12/03/2014;15:20;-0.17;min;
12/03/2014;21:20;0.42;max;
13/03/2014;03:15;-0.03;min;
13/03/2014;09:10;0.49;max;
13/03/2014;15:35;-0.29;min;
13/03/2014;21:55;0.47;max;
14/03/2014;03:35;-0.06;min;
