Data;Ora solare;Valore;Tipo;;
2009-02-20;15:30;-36;min;;
2009-02-20;22:30;44;max;;
2009-02-21;03:05;4;min;;
2009-02-21;08:40;46;max;;
2009-02-21;15:25;-41;min;;
2009-02-21;22:15;45;max;;
2009-02-22;03:05;0;min;;
2009-02-22;08:45;49;max;;
2009-02-22;15:45;-39;min;;
2009-02-22;22:40;47;max;;
2009-02-23;03:45;-2;min;;
2009-02-23;09:05;53;max;;
2009-02-23;16:30;-37;min;;
2009-02-23;23:05;52;max;;
2009-02-24;04:40;-2;min;;
2009-02-24;10:00;51;max;;
2009-02-24;16:45;-43;min;;
2009-02-24;23:30;53;max;;
2009-02-25;05:20;-19;min;;
2009-02-25;10:45;44;max;;
2009-02-25;17:05;-48;min;;
2009-02-25;23:50;50;max;;
2009-02-26;05:40;-27;min;;
2009-02-26;11:15;44;max;;
2009-02-26;17:15;-46;min;;
2009-02-27;00:10;53;max;;
2009-02-27;06:00;-22;min;;
2009-02-27;11:40;40;max;;
2009-02-27;17:50;-41;min;;
2009-02-28;00:25;54;max;;
2009-02-28;06:30;-30;min;;
2009-02-28;12:15;31;max;;
2009-02-28;17:50;-32;min;;
2009-03-01;00:45;56;max;;
2009-03-01;07:20;-25;min;;
2009-03-01;13:05;29;max;;
2009-03-01;17:40;-9;min;;
2009-03-02;00:40;60;max;;
2009-03-02;07:30;-20;min;;
2009-03-02;13:45;28;max;;
2009-03-02;18:25;3;min;;
2009-03-03;00:50;48;max;;
2009-03-03;08:25;-13;min;;
2009-03-03;14:55;21;max;;
2009-03-03;18:40;14;min;;
2009-03-04;02:30;43;max;;
2009-03-04;09:50;0;min;;
2009-03-05;04:15;98;max;;
2009-03-05;11:40;33;min;;
2009-03-05;16:45;59;max;;
2009-03-05;21:25;47;min;;
2009-03-06;03:10;83;max;;
2009-03-06;15:00;0;min;;
2009-03-06;22:10;87;max;;
2009-03-07;03:15;37;min;;
2009-03-07;08:05;78;max;;
2009-03-07;15:00;-15;min;;
2009-03-07;21:20;79;max;;
2009-03-08;03:25;21;min;;
2009-03-08;08:30;71;max;;
2009-03-08;15:15;-11;min;;
2009-03-08;22:05;84;max;;
2009-03-09;03:45;20;min;;
2009-03-09;09:20;79;max;;
2009-03-09;16:10;-11;min;;
2009-03-09;22:10;78;max;;
2009-03-10;05:10;-7;min;;
2009-03-10;10:50;67;max;;
2009-03-10;16:30;-17;min;;
2009-03-10;23:15;91;max;;
2009-03-11;05:15;-6;min;;
2009-03-11;10:55;75;max;;
2009-03-11;16:55;-14;min;;
2009-03-11;23:00;79;max;;
2009-03-12;05:40;-20;min;;
2009-03-12;11:20;53;max;;
2009-03-12;17:00;-18;min;;
2009-03-12;23:30;68;max;;
2009-03-13;05:40;-9;min;;
2009-03-13;11:45;57;max;;
2009-03-13;17:45;-6;min;;
2009-03-14;00:05;65;max;;
2009-03-14;06:30;-15;min;;
2009-03-14;12:30;39;max;;
2009-03-14;17:55;-7;min;;
2009-03-15;00:20;65;max;;
2009-03-15;07:05;-15;min;;
2009-03-15;12:30;33;max;;
2009-03-15;17:35;1;min;;
2009-03-16;00:20;60;max;;
2009-03-16;07:35;-19;min;;
2009-03-16;13:20;17;max;;
2009-03-16;17:20;5;min;;
2009-03-17;00:15;46;max;;
2009-03-17;07:50;-20;min;;
2009-03-17;15:00;13;max;;
2009-03-17;17:20;8;min;;
2009-03-17;23:05;28;max;;
2009-03-18;08:25;-7;min;;
2009-03-18;19:35;18;max;;
2009-03-18;23:35;12;min;;
2009-03-19;03:00;15;max;;
2009-03-19;12:25;-1;min;;
2009-03-19;21:10;39;max;;
2009-03-19;22:35;32;min;;
2009-03-20;00:15;39;max;;
2009-03-20;04:15;27;min;;
2009-03-20;07:25;29;max;;
2009-03-20;12:50;-2;min;;
2009-03-20;21:10;35;max;;
2009-03-21;03:05;6;min;;
2009-03-21;07:10;28;max;;
2009-03-21;13:55;-22;min;;
2009-03-21;21:40;50;max;;
2009-03-22;02:40;9;min;;
2009-03-22;07:35;40;max;;
2009-03-22;14:40;-29;min;;
2009-03-22;21:40;51;max;;
2009-03-23;03:10;-1;min;;
2009-03-23;08:40;50;max;;
2009-03-23;15:10;-23;min;;
2009-03-23;22:10;61;max;;
2009-03-24;03:25;11;min;;
2009-03-24;09:10;68;max;;
2009-03-24;15:40;-13;min;;
2009-03-24;21:55;77;max;;
2009-03-25;04:35;-7;min;;
2009-03-25;09:50;52;max;;
2009-03-25;15:20;-19;min;;
2009-03-25;22:45;91;max;;
2009-03-26;05:10;-2;min;;
2009-03-26;10:45;55;max;;
2009-03-26;16:05;-14;min;;
2009-03-26;22:40;88;max;;
2009-03-27;05:25;-17;min;;
2009-03-27;11:30;58;max;;
2009-03-27;16:30;7;min;;
2009-03-27;23:00;89;max;;
2009-03-28;06:00;-15;min;;
2009-03-28;12:10;66;max;;
2009-03-28;17:05;18;min;;
2009-03-28;23:15;99;max;;
2009-03-29;06:00;9;min;;
2009-03-29;12:50;90;max;;
2009-03-29;17:15;75;min;;
2009-03-29;22:25;116;max;;
2009-03-30;07:30;-14;min;;
2009-03-30;14:05;57;max;;
2009-03-30;17:20;40;min;;
2009-03-30;22:25;57;max;;
2009-03-31;07:30;-26;min;;
2009-03-31;14:50;64;max;;
2009-03-31;20:15;26;min;;
2009-04-01;00:40;53;max;;
2009-04-01;07:30;-8;min;;
2009-04-01;15:00;49;max;;
2009-04-01;19:35;28;min;;
2009-04-02;01:50;52;max;;
2009-04-02;10:05;8;min;;
2009-04-02;15:55;31;max;;
2009-04-02;17:50;26;min;;
2009-04-03;00:55;35;max;;
2009-04-03;13:05;-8;min;;
2009-04-03;20:30;48;max;;
2009-04-04;01:20;26;min;;
2009-04-04;06:30;44;max;;
2009-04-04;13:20;-18;min;;
2009-04-04;20:30;54;max;;
2009-04-05;02:25;10;min;;
2009-04-05;07:00;38;max;;
2009-04-05;14:10;-28;min;;
2009-04-05;20:55;59;max;;
2009-04-06;03:20;-2;min;;
2009-04-06;08:35;35;max;;
2009-04-06;14:30;-23;min;;
2009-04-06;21:35;72;max;;
2009-04-07;03:55;-10;min;;
2009-04-07;09:10;43;max;;
2009-04-07;14:55;-17;min;;
2009-04-07;21:45;76;max;;
2009-04-08;04:20;-22;min;;
2009-04-08;10:15;46;max;;
2009-04-08;15:35;-9;min;;
2009-04-08;21:50;75;max;;
2009-04-09;04:50;-30;min;;
2009-04-09;11:10;47;max;;
2009-04-09;16:20;-12;min;;
2009-04-09;22:25;66;max;;
2009-04-10;05:00;-37;min;;
2009-04-10;11:25;47;max;;
2009-04-10;16:50;-8;min;;
2009-04-10;22:40;64;max;;
2009-04-11;05:20;-31;min;;
2009-04-11;12:05;42;max;;
2009-04-11;16:50;-2;min;;
2009-04-11;23:05;60;max;;
2009-04-12;05:55;-29;min;;
2009-04-12;12:10;39;max;;
2009-04-12;17:35;4;min;;
2009-04-13;00:00;60;max;;
2009-04-13;06:30;-17;min;;
2009-04-13;13:30;59;max;;
2009-04-13;17:35;36;min;;
2009-04-13;23:25;66;max;;
2009-04-14;06:40;-17;min;;
2009-04-14;13:40;42;max;;
2009-04-14;18:05;31;min;;
2009-04-14;23:20;56;max;;
2009-04-15;07:05;0;min;;
2009-04-15;16:30;42;max;;
2009-04-15;19:40;37;min;;
2009-04-16;00:55;46;max;;
2009-04-16;09:40;12;min;;
2009-04-16;18:15;46;max;;
2009-04-16;19:40;42;min;;
2009-04-17;01:35;57;max;;
2009-04-17;12:05;11;min;;
2009-04-17;21:20;57;max;;
2009-04-18;11:40;-5;min;;
2009-04-18;20:10;60;max;;
2009-04-19;03:05;21;min;;
2009-04-19;06:20;27;max;;
2009-04-19;12:50;-4;min;;
2009-04-19;20:00;72;max;;
2009-04-20;03:15;12;min;;
2009-04-20;07:25;35;max;;
2009-04-20;13:05;4;min;;
2009-04-20;20:10;60;max;;
2009-04-21;03:15;-7;min;;
2009-04-21;09:15;50;max;;
2009-04-21;15:00;7;min;;
2009-04-21;20:55;71;max;;
2009-04-22;03:25;-21;min;;
2009-04-22;09:25;55;max;;
2009-04-22;14:40;0;min;;
2009-04-22;21:00;68;max;;
2009-04-23;03:45;-18;min;;
2009-04-23;09:50;60;max;;
2009-04-23;15:10;1;min;;
2009-04-23;21:35;73;max;;
2009-04-24;04:15;-15;min;;
2009-04-24;10:35;62;max;;
2009-04-24;16:15;-2;min;;
2009-04-24;22:10;70;max;;
2009-04-25;05:10;-30;min;;
2009-04-25;11:05;50;max;;
2009-04-25;16:25;-12;min;;
2009-04-25;22:45;73;max;;
2009-04-26;05:45;-35;min;;
2009-04-26;12:00;50;max;;
2009-04-26;16:40;3;min;;
2009-04-26;22:55;85;max;;
2009-04-27;06:00;-22;min;;
2009-04-27;13:20;78;max;;
2009-04-27;17:05;58;min;;
2009-04-27;23:25;117;max;;
2009-04-28;07:05;9;min;;
2009-04-28;13:30;80;max;;
2009-04-28;18:30;36;min;;
2009-04-29;00:25;74;max;;
2009-04-29;07:20;-3;min;;
2009-04-29;14:25;68;max;;
2009-04-29;19:20;34;min;;
2009-04-30;00:35;63;max;;
2009-04-30;08:15;-4;min;;
2009-04-30;15:35;49;max;;
2009-04-30;19:35;34;min;;
2009-05-01;00:05;46;max;;
2009-05-01;09:50;-4;min;;
2009-05-01;17:40;48;max;;
2009-05-02;01:20;22;min;;
2009-05-02;05:40;31;max;;
2009-05-02;11:35;-9;min;;
2009-05-02;19:30;66;max;;
2009-05-03;01:25;8;min;;
2009-05-03;06:20;20;max;;
2009-05-03;12:20;-15;min;;
2009-05-03;19:30;57;max;;
2009-05-04;03:00;-5;min;;
2009-05-04;07:55;23;max;;
2009-05-04;13:00;-17;min;;
2009-05-04;19:50;63;max;;
2009-05-05;02:55;-21;min;;
2009-05-05;08:50;28;max;;
2009-05-05;13:40;-9;min;;
2009-05-05;20:25;74;max;;
2009-05-06;03:40;-25;min;;
2009-05-06;09:40;38;max;;
2009-05-06;14:10;0;min;;
2009-05-06;20:40;74;max;;
2009-05-07;03:55;-27;min;;
2009-05-07;10:15;44;max;;
2009-05-07;15:00;5;min;;
2009-05-07;21:15;73;max;;
2009-05-08;04:10;-30;min;;
2009-05-08;10:45;50;max;;
2009-05-08;15:30;6;min;;
2009-05-08;21:35;70;max;;
2009-05-09;04:35;-27;min;;
2009-05-09;11:25;44;max;;
2009-05-09;16:25;7;min;;
2009-05-09;22:05;63;max;;
2009-05-10;05:15;-30;min;;
2009-05-10;12:05;42;max;;
2009-05-10;16:55;10;min;;
2009-05-10;22:40;63;max;;
2009-05-11;05:55;-33;min;;
2009-05-11;12:55;46;max;;
2009-05-11;17:45;15;min;;
2009-05-11;23:05;69;max;;
2009-05-12;06:05;-30;min;;
