Data;Ora solare;Valore;Tipo;;
2010-01-01;00:25;102; max;;
2010-01-01;04:50;62; min;;
2010-01-01;10:00;119; max;;
2010-01-01;17:50;4; min;;
2010-01-02;00:45;108; max;;
2010-01-02;06:00;52; min;;
2010-01-02;11:05;103; max;;
2010-01-02;18:25;6; min;;
2010-01-03;00:55;98; max;;
2010-01-03;06:45;28; min;;
2010-01-03;12:15;92; max;;
2010-01-03;19:15;-4; min;;
2010-01-04;01:45;82; max;;
2010-01-04;06:55;29; min;;
2010-01-04;12:50;91; max;;
2010-01-04;19:30;4; min;;
2010-01-05;02:55;88; max;;
2010-01-05;07:35;45; min;;
2010-01-05;12:35;82; max;;
2010-01-05;19:30;7; min;;
2010-01-06;04:05;107; max;;
2010-01-06;11:05;52; min;;
2010-01-06;13:50;55; max;;
2010-01-06;19:35;27; min;;
2010-01-07;04:15;120; max;;
2010-01-07;12:05;37; min;;
2010-01-07;15:00;48; max;;
2010-01-07;20:00;27; min;;
2010-01-08;04:15;102; max;;
2010-01-08;11:15;51; min;;
2010-01-09;03:55;95; max;;
2010-01-09;10:25;60; min;;
2010-01-09;15:25;79; max;;
2010-01-09;17:30;75; min;;
2010-01-09;20:35;89; max;;
2010-01-10;02:30;62; min;;
2010-01-10;07:55;88; max;;
2010-01-10;15:10;38; min;;
2010-01-10;21:00;71; max;;
2010-01-11;01:35;41; min;;
2010-01-11;08:10;91; max;;
2010-01-11;16:10;18; min;;
2010-01-11;22:05;63; max;;
2010-01-12;02:35;44; min;;
2010-01-12;08:40;95; max;;
2010-01-12;16:30;-5; min;;
2010-01-12;23:20;70; max;;
2010-01-13;03:10;47; min;;
2010-01-13;08:55;95; max;;
2010-01-13;16:40;-11; min;;
2010-01-13;23:50;77; max;;
2010-01-14;04:10;52; min;;
2010-01-14;09:40;96; max;;
2010-01-14;17:05;-8; min;;
2010-01-14;23:50;79; max;;
2010-01-15;04:45;43; min;;
2010-01-15;10:00;83; max;;
2010-01-15;17:25;-10; min;;
2010-01-16;00:40;79; max;;
2010-01-16;05:45;37; min;;
2010-01-16;11:10;81; max;;
2010-01-16;17:55;-14; min;;
2010-01-17;01:00;75; max;;
2010-01-17;06:15;27; min;;
2010-01-17;11:35;80; max;;
2010-01-17;18:15;-14; min;;
2010-01-18;01:00;72; max;;
2010-01-18;06:25;16; min;;
2010-01-18;11:25;63; max;;
2010-01-18;18:15;-24; min;;
2010-01-19;01:25;63; max;;
2010-01-19;06:55;9; min;;
2010-01-19;12:10;55; max;;
2010-01-19;18:30;-19; min;;
2010-01-20;01:45;65; max;;
2010-01-20;07:30;15; min;;
2010-01-20;12:30;49; max;;
2010-01-20;18:40;-11; min;;
2010-01-21;02:10;69; max;;
2010-01-21;08:25;15; min;;
2010-01-21;13:05;45; max;;
2010-01-21;18:50;-3; min;;
2010-01-22;02:05;62; max;;
2010-01-22;09:05;9; min;;
2010-01-22;13:30;28; max;;
2010-01-22;18:45;0; min;;
2010-01-23;02:55;57; max;;
2010-01-23;11:35;7; min;;
2010-01-24;04:05;59; max;;
2010-01-24;12:40;-6; min;;
2010-01-25;05:20;56; max;;
2010-01-25;14:00;-10; min;;
2010-01-25;21:05;37; max;;
2010-01-26;00:25;30; min;;
2010-01-26;06:45;51; max;;
2010-01-26;14:35;-20; min;;
2010-01-26;22:10;56; max;;
2010-01-27;03:05;32; min;;
2010-01-27;08:00;58; max;;
2010-01-27;15:50;-38; min;;
2010-01-27;22:05;44; max;;
2010-01-28;03:10;10; min;;
2010-01-28;09:20;70; max;;
2010-01-28;16:20;-32; min;;
2010-01-28;23:05;56; max;;
2010-01-29;04:00;11; min;;
2010-01-29;09:55;75; max;;
2010-01-29;17:00;-31; min;;
2010-01-29;23:50;70; max;;
2010-01-30;04:45;26; min;;
2010-01-30;10:30;87; max;;
2010-01-30;17:45;-34; min;;
2010-01-31;00:35;82; max;;
2010-01-31;05:50;25; min;;
2010-01-31;11:25;81; max;;
2010-01-31;18:00;-25; min;;
2010-02-01;00:45;85; max;;
2010-02-01;06:50;3; min;;
2010-02-01;12:15;57; max;;
2010-02-01;18:15;-24; min;;
2010-02-02;01:05;77; max;;
2010-02-02;07:10;-8; min;;
2010-02-02;12:50;48; max;;
2010-02-02;18:40;-22; min;;
2010-02-03;01:35;76; max;;
2010-02-03;07:40;-3; min;;
2010-02-03;13:05;44; max;;
2010-02-03;18:55;-8; min;;
2010-02-04;01:40;69; max;;
2010-02-04;08:25;-7; min;;
2010-02-04;13:15;26; max;;
2010-02-04;18:20;-3; min;;
2010-02-05;02:15;56; max;;
2010-02-05;09:00;-1; min;;
2010-02-06;01:55;84; max;;
2010-02-06;15:20;18; min;;
2010-02-06;23:55;63; max;;
2010-02-07;13:45;0; min;;
2010-02-07;21:05;61; max;;
2010-02-08;02:10;35; min;;
2010-02-08;07:05;49; max;;
2010-02-08;13:45;-3; min;;
2010-02-08;21:10;55; max;;
2010-02-09;01:45;31; min;;
2010-02-09;07:15;58; max;;
2010-02-09;15:10;3; min;;
2010-02-09;22:10;61; max;;
2010-02-10;02:40;39; min;;
2010-02-10;08:25;83; max;;
2010-02-10;15:20;29; min;;
2010-02-10;22:35;88; max;;
2010-02-11;04:15;44; min;;
2010-02-11;09:40;95; max;;
2010-02-11;16:55;16; min;;
2010-02-11;22:40;76; max;;
2010-02-12;04:00;33; min;;
2010-02-12;10:10;101; max;;
2010-02-12;16:55;13; min;;
2010-02-12;23:05;86; max;;
2010-02-13;04:30;33; min;;
2010-02-13;10:10;96; max;;
2010-02-13;17:25;-5; min;;
2010-02-13;23:45;77; max;;
2010-02-14;05:30;30; min;;
2010-02-14;10:30;84; max;;
2010-02-14;17:20;-13; min;;
2010-02-15;00:15;83; max;;
2010-02-15;05:40;22; min;;
2010-02-15;11:20;76; max;;
2010-02-15;17:25;-2; min;;
2010-02-16;00:10;83; max;;
2010-02-16;06:10;16; min;;
2010-02-16;11:40;77; max;;
2010-02-16;18:05;2; min;;
2010-02-17;00:50;82; max;;
2010-02-17;06:40;23; min;;
2010-02-17;12:20;91; max;;
2010-02-17;18:30;7; min;;
2010-02-18;00:55;88; max;;
2010-02-18;06:40;39; min;;
2010-02-18;12:10;89; max;;
2010-02-18;18:40;9; min;;
2010-02-19;01:35;83; max;;
2010-02-19;07:15;37; min;;
2010-02-19;14:50;112; max;;
2010-02-19;19:45;70; min;;
2010-02-20;00:50;124; max;;
2010-02-20;08:55;17; min;;
2010-02-20;15:05;80; max;;
2010-02-20;19:30;64; min;;
2010-02-21;00:50;96; max;;
2010-02-21;08:05;13; min;;
2010-02-21;15:00;67; max;;
2010-02-21;18:05;63; min;;
2010-02-21;22:00;79; max;;
2010-02-22;09:50;47; min;;
2010-02-22;19:05;81; max;;
2010-02-22;23:50;56; min;;
2010-02-23;06:40;69; max;;
2010-02-23;13:05;47; min;;
2010-02-23;18:40;73; max;;
2010-02-24;00:55;46; min;;
2010-02-24;07:35;90; max;;
2010-02-24;15:45;24; min;;
2010-02-24;21:20;66; max;;
2010-02-25;01:40;44; min;;
2010-02-25;08:10;100; max;;
2010-02-25;15:35;-5; min;;
2010-02-25;22:15;79; max;;
2010-02-26;02:35;49; min;;
2010-02-26;08:50;111; max;;
2010-02-26;16:30;15; min;;
2010-02-26;22:45;105; max;;
2010-02-27;05:00;37; min;;
2010-02-27;09:30;85; max;;
2010-02-27;16:20;-9; min;;
2010-02-27;23:00;92; max;;
2010-02-28;04:55;19; min;;
2010-02-28;10:45;99; max;;
2010-02-28;16:55;20; min;;
2010-02-28;23:30;119; max;;
2010-03-01;05:35;25;min;;
2010-03-01;11:10;89;max;;
2010-03-01;17:25;7;min;;
2010-03-01;23:50;102;max;;
2010-03-02;06:15;9;min;;
2010-03-02;11:45;74;max;;
2010-03-02;17:55;0;min;;
2010-03-03;00:20;91;max;;
2010-03-03;06:45;-2;min;;
2010-03-03;12:55;67;max;;
2010-03-03;18:15;5;min;;
2010-03-04;00:35;96;max;;
2010-03-04;06:45;12;min;;
2010-03-04;12:40;84;max;;
2010-03-04;18:20;30;min;;
2010-03-05;00:10;78;max;;
2010-03-05;07:20;29;min;;
2010-03-05;13:00;70;max;;
2010-03-05;19:10;26;min;;
2010-03-06;01:55;72;max;;
2010-03-06;08:35;21;min;;
2010-03-06;13:25;46;max;;
2010-03-06;18:40;31;min;;
2010-03-07;02:30;76;max;;
2010-03-07;10:10;13;min;;
2010-03-07;13:40;26;max;;
2010-03-07;16:40;21;min;;
2010-03-08;00:40;64;max;;
2010-03-08;12:05;2;min;;
2010-03-08;21:50;62;max;;
2010-03-09;05:30;45;min;;
2010-03-09;06:55;46;max;;
2010-03-09;14:00;15;min;;
2010-03-09;21:15;84;max;;
2010-03-10;00:40;71;min;;
2010-03-10;07:25;90;max;;
2010-03-10;16:25;27;min;;
2010-03-10;22:10;84;max;;
2010-03-11;03:40;41;min;;
2010-03-11;08:45;67;max;;
2010-03-11;15:00;4;min;;
2010-03-11;21:20;83;max;;
2010-03-12;03:50;19;min;;
2010-03-12;08:50;59;max;;
2010-03-12;15:10;3;min;;
2010-03-12;21:40;67;max;;
2010-03-13;04:05;4;min;;
2010-03-13;10:05;60;max;;
2010-03-13;16:05;-12;min;;
2010-03-13;22:20;61;max;;
2010-03-14;04:15;-9;min;;
2010-03-14;10:20;60;max;;
2010-03-14;16:20;-19;min;;
2010-03-14;22:45;61;max;;
2010-03-15;04:35;-7;min;;
2010-03-15;10:30;66;max;;
2010-03-15;16:45;-22;min;;
2010-03-15;23:15;63;max;;
2010-03-16;04:55;-5;min;;
2010-03-16;10:55;62;max;;
2010-03-16;17:00;-20;min;;
2010-03-16;23:30;65;max;;
2010-03-17;05:55;-18;min;;
2010-03-17;11:30;44;max;;
2010-03-17;17:10;-25;min;;
2010-03-18;00:00;66;max;;
2010-03-18;06:15;-25;min;;
2010-03-18;12:10;38;max;;
2010-03-18;17:15;-18;min;;
2010-03-18;23:50;59;max;;
2010-03-19;06:35;-30;min;;
2010-03-19;12:30;34;max;;
2010-03-19;17:35;-10;min;;
2010-03-20;00:00;54;max;;
2010-03-20;07:20;-27;min;;
2010-03-20;13:50;32;max;;
2010-03-20;18:10;1;min;;
2010-03-21;00:30;53;max;;
2010-03-21;07:35;-20;min;;
2010-03-21;14:25;34;max;;
2010-03-21;18:45;10;min;;
2010-03-22;00:15;44;max;;
2010-03-22;08:15;-15;min;;
2010-03-22;14:45;23;max;;
2010-03-22;18:20;15;min;;
2010-03-23;00:25;27;max;;
2010-03-23;10:25;-9;min;;
2010-03-23;18:20;23;max;;
2010-03-23;23:55;16;min;;
2010-03-24;05:20;23;max;;
2010-03-24;12:50;-18;min;;
2010-03-24;20:05;34;max;;
2010-03-25;01:15;14;min;;
2010-03-25;06:35;38;max;;
2010-03-25;13:45;-23;min;;
2010-03-25;21:05;52;max;;
2010-03-26;02:35;10;min;;
2010-03-26;07:55;51;max;;
2010-03-26;14:20;-21;min;;
2010-03-26;21:25;79;max;;
2010-03-27;03:35;12;min;;
2010-03-27;08:30;51;max;;
2010-03-27;14:45;-21;min;;
2010-03-27;21:55;79;max;;
2010-03-28;04:20;-10;min;;
2010-03-28;09:50;43;max;;
2010-03-28;15:30;-22;min;;
2010-03-28;22:05;81;max;;
2010-03-29;04:45;-21;min;;
2010-03-29;10:50;54;max;;
2010-03-29;16:05;-9;min;;
2010-03-29;22:25;82;max;;
2010-03-30;05:00;-20;min;;
2010-03-30;11:25;73;max;;
2010-03-30;16:20;17;min;;
2010-03-30;22:55;108;max;;
2010-03-31;05:40;-4;min;;
2010-03-31;11:20;59;max;;
2010-03-31;16:40;4;min;;
2010-03-31;23:30;83;max;;
2010-04-01;06:30;-18; min;;
2010-04-01;12:30;49; max;;
2010-04-01;16:50;20; min;;
2010-04-01;23:15;82; max;;
2010-04-02;07:05;-31; min;;
2010-04-02;13:50;41; max;;
2010-04-02;18:00;20; min;;
2010-04-02;23:55;67; max;;
2010-04-03;07:25;-31; min;;
2010-04-03;14:15;43; max;;
2010-04-03;18:50;24; min;;
2010-04-04;00:15;56; max;;
2010-04-04;07:20;-16; min;;
2010-04-04;14:55;47; max;;
2010-04-04;18:15;33; min;;
2010-04-04;23:40;56; max;;
2010-04-05;07:35;11; min;;
2010-04-05;15:10;29; max;;
2010-04-05;20:40;13; min;;
2010-04-06;02:45;32; max;;
2010-04-06;11:50;-7; min;;
2010-04-07;04:40;26; max;;
2010-04-07;13:40;-23; min;;
2010-04-07;21:15;35; max;;
2010-04-08;02:05;12; min;;
2010-04-08;06:05;27; max;;
2010-04-08;13:00;-26; min;;
2010-04-08;21:05;49; max;;
2010-04-09;03:35;1; min;;
2010-04-09;07:20;18; max;;
2010-04-09;13:20;-29; min;;
2010-04-09;20:50;52; max;;
2010-04-10;03:30;-16; min;;
2010-04-10;08:45;20; max;;
2010-04-10;13:55;-20; min;;
2010-04-10;20:55;64; max;;
2010-04-11;04:00;-13; min;;
2010-04-11;09:25;39; max;;
2010-04-11;14:45;-15; min;;
2010-04-11;22:00;60; max;;
2010-04-12;04:05;-20; min;;
2010-04-12;09:50;46; max;;
2010-04-12;15:20;-8; min;;
2010-04-12;21:50;67; max;;
2010-04-13;04:25;-19; min;;
2010-04-13;10:35;53; max;;
2010-04-13;16:00;-2; min;;
2010-04-13;22:25;73; max;;
2010-04-14;04:55;-18; min;;
2010-04-14;10:55;61; max;;
2010-04-14;16:15;0; min;;
2010-04-14;22:20;75; max;;
2010-04-15;05:20;-22; min;;
2010-04-15;11:25;51; max;;
2010-04-15;16:30;-1; min;;
2010-04-15;22:50;70; max;;
2010-04-16;06:00;-24; min;;
2010-04-16;12:15;46; max;;
2010-04-16;17:15;6; min;;
2010-04-16;23:40;67; max;;
2010-04-17;06:20;-31; min;;
2010-04-17;12:50;51; max;;
2010-04-17;17:30;12; min;;
2010-04-17;23:40;65; max;;
2010-04-18;06:30;-22; min;;
2010-04-18;13:35;52; max;;
2010-04-18;18:20;17; min;;
2010-04-18;23:55;66; max;;
2010-04-19;07:20;-15; min;;
2010-04-19;13:55;45; max;;
2010-04-19;18:10;26; min;;
2010-04-20;00:25;59; max;;
2010-04-20;08:45;-4; min;;
2010-04-20;16:20;43; max;;
2010-04-20;19:30;36; min;;
2010-04-21;00:35;49; max;;
2010-04-21;10:25;-4; min;;
2010-04-21;18:45;56; max;;
2010-04-22;11:50;-10; min;;
2010-04-22;19:20;66; max;;
2010-04-23;02:05;28; min;;
2010-04-23;05:55;38; max;;
2010-04-23;12:35;-2; min;;
2010-04-23;20:25;80; max;;
2010-04-24;03:00;22; min;;
2010-04-24;07:40;58; max;;
2010-04-24;14:00;0; min;;
2010-04-24;20:15;68; max;;
2010-04-25;03:15;-14; min;;
2010-04-25;09:10;46; max;;
2010-04-25;14:35;-9; min;;
2010-04-25;21:05;71; max;;
2010-04-26;03:35;-18; min;;
2010-04-26;09:35;51; max;;
2010-04-26;15:00;-4; min;;
2010-04-26;21:35;80; max;;
2010-04-27;04:15;-21; min;;
2010-04-27;10:15;49; max;;
2010-04-27;15:40;-4; min;;
2010-04-27;22:00;76; max;;
2010-04-28;04:55;-32; min;;
2010-04-28;11:15;44; max;;
2010-04-28;16:10;-1; min;;
2010-04-28;22:25;75; max;;
2010-04-29;05:30;-35; min;;
2010-04-29;12:05;50; max;;
2010-04-29;16:50;11; min;;
2010-04-29;22:45;77; max;;
2010-04-30;05:40;-29; min;;
2010-04-30;12:55;52; max;;
2010-04-30;17:05;22; min;;
2010-04-30;23:05;71; max;;
2010-05-01;05:55;-21; min;;
2010-05-01;13:35;52; max;;
2010-05-01;17:40;29; min;;
2010-05-01;23:40;71; max;;
2010-05-02;07:20;-15; min;;
2010-05-02;14:25;61; max;;
2010-05-02;18:40;34; min;;
2010-05-03;00:50;74; max;;
2010-05-03;07:00;3; min;;
2010-05-03;14:35;67; max;;
2010-05-03;19:40;50; min;;
2010-05-03;23:55;57; max;;
2010-05-04;06:55;10; min;;
2010-05-04;16:00;69; max;;
2010-05-04;22:05;36; min;;
2010-05-05;01:35;44; max;;
2010-05-05;07:00;21; min;;
2010-05-05;18:10;87; max;;
2010-05-06;09:50;14; min;;
2010-05-06;18:35;77; max;;
2010-05-07;02:45;16; min;;
2010-05-07;06:40;31; max;;
2010-05-07;11:15;16; min;;
2010-05-07;18:45;72; max;;
2010-05-08;01:55;9; min;;
2010-05-08;07:15;43; max;;
2010-05-08;12:35;12; min;;
2010-05-08;19:20;68; max;;
2010-05-09;02:20;7; min;;
2010-05-09;08:00;48; max;;
2010-05-09;13:10;9; min;;
2010-05-09;20:15;71; max;;
2010-05-10;02:55;5; min;;
2010-05-10;08:35;51; max;;
2010-05-10;13:55;14; min;;
2010-05-10;20:40;84; max;;
2010-05-11;03:45;0; min;;
2010-05-11;10:00;59; max;;
2010-05-11;14:30;19; min;;
2010-05-11;21:15;92; max;;
2010-05-12;04:25;-8; min;;
2010-05-12;10:15;65; max;;
2010-05-12;14:55;25; min;;
2010-05-12;21:15;91; max;;
2010-05-13;04:35;-12; min;;
2010-05-13;11:25;70; max;;
2010-05-13;15:50;39; min;;
2010-05-13;21:55;89; max;;
2010-05-14;05:00;-15; min;;
2010-05-14;11:25;71; max;;
2010-05-14;16:15;37; min;;
2010-05-14;22:10;83; max;;
2010-05-15;05:35;-17; min;;
2010-05-15;13:05;90; max;;
2010-05-15;17:55;43; min;;
2010-05-15;23:00;79; max;;
2010-05-16;05:50;-6; min;;
2010-05-16;13:00;85; max;;
2010-05-16;18:30;34; min;;
2010-05-17;00:10;80; max;;
2010-05-17;06:20;5; min;;
2010-05-17;12:50;75; max;;
2010-05-17;18:25;22; min;;
2010-05-18;00:20;75; max;;
2010-05-18;07:40;-4; min;;
2010-05-18;14:55;51; max;;
2010-05-18;19:00;35; min;;
2010-05-19;01:00;70; max;;
2010-05-19;09:00;-6; min;;
2010-05-19;16:35;58; max;;
2010-05-19;21:55;36; min;;
2010-05-20;01:25;45; max;;
2010-05-20;09:15;-13; min;;
2010-05-20;16:50;70; max;;
2010-05-21;01:10;17; min;;
2010-05-21;03:40;21; max;;
2010-05-21;09:50;-4; min;;
2010-05-21;17:30;61; max;;
2010-05-22;01:10;-2; min;;
2010-05-22;07:25;28; max;;
2010-05-22;12:15;2; min;;
2010-05-22;18:30;61; max;;
2010-05-23;01:25;-6; min;;
2010-05-23;07:50;41; max;;
2010-05-23;12:45;2; min;;
2010-05-23;19:25;67; max;;
2010-05-24;02:25;-5; min;;
2010-05-24;08:20;42; max;;
2010-05-24;13:30;10; min;;
2010-05-24;20:20;78; max;;
