Data;Ora;Valore;Tipo;ID staz
1998-02-14;18:05;-48;min;00251
1998-02-15;0:45;43;max;00251
1998-02-15;6:45;-25;min;00251
1998-02-15;12:10;28;max;00251
1998-02-15;18:25;-47;min;00251
1998-02-16;1:00;32;max;00251
1998-02-16;6:40;-28;min;00251
1998-02-16;12:40;19;max;00251
1998-02-16;18:30;-29;min;00251
1998-02-17;1:50;43;max;00251
1998-02-17;8:10;-14;min;00251
1998-02-17;13:05;19;max;00251
1998-02-17;19:05;-29;min;00251
1998-02-18;1:55;35;max;00251
1998-02-18;8:00;-25;min;00251
1998-02-18;12:55;0;max;00251
1998-02-18;18:35;-26;min;00251
1998-02-19;2:15;20;max;00251
1998-02-19;9:20;-12;min;00251
1998-02-19;12:55;-4;max;00251
1998-02-19;16:15;-8;min;00251
1998-02-20;4:00;23;max;00251
1998-02-20;13:00;-28;min;00251
1998-02-20;21:00;8;max;00251
1998-02-20;22:30;7;min;00251
1998-02-21;5:20;31;max;00251
1998-02-21;13:40;-34;min;00251
1998-02-21;21:20;23;max;00251
1998-02-22;1:05;12;min;00251
1998-02-22;6:20;33;max;00251
1998-02-22;14:05;-35;min;00251
1998-02-22;21:55;40;max;00251
1998-02-23;2:45;7;min;00251
1998-02-23;8:20;41;max;00251
1998-02-23;14:55;-32;min;00251
1998-02-23;21:55;52;max;00251
1998-02-24;3:55;-13;min;00251
1998-02-24;9:10;43;max;00251
1998-02-24;15:45;-47;min;00251
1998-02-24;22:00;43;max;00251
1998-02-25;3:55;-31;min;00251
1998-02-25;9:40;46;max;00251
1998-02-25;16:35;-50;min;00251
1998-02-25;22:50;38;max;00251
1998-02-26;4:40;-33;min;00251
1998-02-26;10:35;52;max;00251
1998-02-26;17:05;-65;min;00251
1998-02-26;23:35;40;max;00251
1998-02-27;5:15;-37;min;00251
1998-02-27;11:00;51;max;00251
1998-02-27;17:25;-63;min;00251
1998-02-28;0:10;52;max;00251
1998-02-28;5:55;-24;min;00251
1998-02-28;11:30;52;max;00251
1998-02-28;18:00;-48;min;00251
1998-03-01;0:50;68;max;00251
1998-03-01;7:00;-16;min;00251
1998-03-01;12:20;48;max;00251
1998-03-01;18:10;-32;min;00251
1998-03-02;0:50;70;max;00251
1998-03-02;7:20;-29;min;00251
1998-03-02;13:20;32;max;00251
1998-03-02;18:30;-21;min;00251
1998-03-03;1:15;59;max;00251
1998-03-03;8:10;-26;min;00251
1998-03-03;13:55;30;max;00251
1998-03-03;19:00;-8;min;00251
1998-03-04;1:20;46;max;00251
1998-03-04;9:00;-20;min;00251
1998-03-04;14:45;23;max;00251
1998-03-04;19:15;2;min;00251
1998-03-05;2:15;43;max;00251
1998-03-05;10:25;-2;min;00251
1998-03-05;16:30;25;max;00251
1998-03-05;22:05;20;min;00251
1998-03-06;2:15;25;max;00251
1998-03-06;11:50;-31;min;00251
1998-03-06;19:55;32;max;00251
1998-03-07;2:30;19;min;00251
1998-03-07;7:00;27;max;00251
1998-03-07;13:05;-16;min;00251
1998-03-07;21:20;48;max;00251
1998-03-08;2:30;17;min;00251
1998-03-08;7:30;46;max;00251
1998-03-08;14:30;-13;min;00251
1998-03-08;21:20;62;max;00251
1998-03-09;3:20;12;min;00251
1998-03-09;8:15;52;max;00251
1998-03-09;14:55;-21;min;00251
1998-03-09;21:00;56;max;00251
1998-03-10;4:50;-10;min;00251
1998-03-10;9:05;36;max;00251
1998-03-10;15:25;-56;min;00251
1998-03-10;22:40;54;max;00251
1998-03-11;4:35;-10;min;00251
1998-03-11;10:00;46;max;00251
1998-03-11;16:05;-39;min;00251
1998-03-11;22:10;55;max;00251
1998-03-12;4:10;-17;min;00251
1998-03-12;10:00;51;max;00251
1998-03-12;16:35;-26;min;00251
1998-03-12;22:50;59;max;00251
1998-03-13;5:05;-17;min;00251
1998-03-13;11:05;57;max;00251
1998-03-13;17:10;-28;min;00251
1998-03-13;23:15;54;max;00251
1998-03-14;5:15;-25;min;00251
1998-03-14;11:25;48;max;00251
1998-03-14;17:20;-36;min;00251
1998-03-14;23:55;48;max;00251
1998-03-15;6:05;-37;min;00251
1998-03-15;11:50;36;max;00251
1998-03-15;18:05;-39;min;00251
1998-03-15;23:50;43;max;00251
1998-03-16;6:05;-42;min;00251
1998-03-16;12:00;30;max;00251
1998-03-16;18:05;-40;min;00251
1998-03-17;0:25;36;max;00251
1998-03-17;6:20;-31;min;00251
1998-03-17;12:05;31;max;00251
1998-03-17;17:35;-29;min;00251
1998-03-18;0:40;43;max;00251
1998-03-18;7:05;-25;min;00251
1998-03-18;12:20;11;max;00251
1998-03-18;18:15;-20;min;00251
1998-03-19;1:15;43;max;00251
1998-03-19;8:30;-20;min;00251
1998-03-19;14:20;8;max;00251
1998-03-19;17:45;-2;min;00251
1998-03-20;1:55;35;max;00251
1998-03-20;8:45;-29;min;00251
1998-03-20;17:25;16;max;00251
1998-03-20;21:45;7;min;00251
1998-03-21;1:45;23;max;00251
1998-03-21;11:35;-15;min;00251
1998-03-21;17:30;15;max;00251
1998-03-22;1:00;-7;min;00251
1998-03-22;5:45;9;max;00251
1998-03-22;12:15;-25;min;00251
1998-03-22;19:55;25;max;00251
1998-03-23;1:10;-8;min;00251
1998-03-23;7:05;30;max;00251
1998-03-23;13:55;-37;min;00251
1998-03-23;21:00;28;max;00251
1998-03-24;1:35;-5;min;00251
1998-03-24;7:20;36;max;00251
1998-03-24;14:25;-32;min;00251
1998-03-24;21:30;48;max;00251
1998-03-25;3:40;-8;min;00251
1998-03-25;8:40;31;max;00251
1998-03-25;15:25;-44;min;00251
1998-03-25;21:50;50;max;00251
1998-03-26;4:25;-47;min;00251
1998-03-26;9:35;30;max;00251
1998-03-26;15:25;-66;min;00251
1998-03-26;22:20;45;max;00251
1998-03-27;4:35;-47;min;00251
1998-03-27;10:10;35;max;00251
1998-03-27;16:10;-56;min;00251
1998-03-27;22:55;52;max;00251
1998-03-28;5:10;-44;min;00251
1998-03-28;10:55;43;max;00251
1998-03-28;17:20;-48;min;00251
1998-03-28;23:35;62;max;00251
1998-03-29;5:45;-37;min;00251
1998-03-29;11:20;44;max;00251
1998-03-29;17:20;-42;min;00251
1998-03-29;23:55;62;max;00251
1998-03-30;6:35;-39;min;00251
1998-03-30;12:05;40;max;00251
1998-03-30;17:40;-21;min;00251
1998-03-31;0:15;62;max;00251
1998-03-31;7:05;-40;min;00251
1998-03-31;13:15;33;max;00251
1998-03-31;18:10;-10;min;00251
1998-04-01;0:40;55;max;00251
1998-04-01;7:40;-33;min;00251
1998-04-01;13:55;37;max;00251
1998-04-01;18:35;3;min;00251
1998-04-02;0:35;48;max;00251
1998-04-02;8:10;-17;min;00251
1998-04-02;15:25;39;max;00251
1998-04-02;20:00;20;min;00251
1998-04-03;1:15;43;max;00251
1998-04-03;9:15;-4;min;00251
1998-04-03;16:15;31;max;00251
1998-04-03;20:25;23;min;00251
1998-04-04;1:30;35;max;00251
1998-04-04;11:15;8;min;00251
1998-04-04;20:35;60;max;00251
1998-04-05;3:05;40;min;00251
1998-04-05;6:20;42;max;00251
1998-04-05;13:05;8;min;00251
1998-04-05;20:20;72;max;00251
1998-04-06;3:10;23;min;00251
1998-04-06;8:00;47;max;00251
1998-04-06;13:20;3;min;00251
1998-04-06;20:20;65;max;00251
1998-04-07;3:00;-5;min;00251
1998-04-07;8:35;46;max;00251
1998-04-07;14:25;-1;min;00251
1998-04-07;21:15;72;max;00251
1998-04-08;3:15;8;min;00251
1998-04-08;9:00;55;max;00251
1998-04-08;15:00;-7;min;00251
1998-04-08;21:30;68;max;00251
1998-04-09;4:05;-2;min;00251
1998-04-09;9:45;60;max;00251
1998-04-09;15:45;0;min;00251
1998-04-09;22:00;73;max;00251
1998-04-10;4:10;-9;min;00251
1998-04-10;10:20;63;max;00251
1998-04-10;16:00;6;min;00251
1998-04-10;21:45;95;max;00251
1998-04-11;4:55;-7;min;00251
1998-04-11;10:25;63;max;00251
1998-04-11;15:45;-1;min;00251
1998-04-11;22:10;91;max;00251
1998-04-12;5:15;-12;min;00251
1998-04-12;11:50;59;max;00251
1998-04-12;17:00;16;min;00251
1998-04-12;22:35;83;max;00251
1998-04-13;5:40;-12;min;00251
1998-04-13;12:35;80;max;00251
1998-04-13;18:40;14;min;00251
1998-04-13;0:00;68;max;00251
1998-04-14;5:40;-23;min;00251
1998-04-14;12:05;72;max;00251
1998-04-14;18:40;0;min;00251
1998-04-14;23:55;65;max;00251
1998-04-15;6:15;-16;min;00251
1998-04-15;12:05;55;max;00251
1998-04-15;17:45;3;min;00251
1998-04-16;0:15;72;max;00251
1998-04-16;6:35;19;min;00251
1998-04-16;12:00;61;max;00251
1998-04-16;18:40;19;min;00251
1998-04-17;1:25;72;max;00251
1998-04-17;8:05;13;min;00251
1998-04-17;13:50;52;max;00251
1998-04-17;18:30;36;min;00251
1998-04-18;1:35;76;max;00251
1998-04-18;9:20;7;min;00251
1998-04-18;16:10;65;max;00251
1998-04-18;20:50;49;min;00251
1998-04-19;1:15;71;max;00251
1998-04-19;8:45;6;min;00251
1998-04-19;16:45;67;max;00251
1998-04-19;19:55;52;min;00251
1998-04-19;21:05;55;max;00251
1998-04-20;10:35;8;min;00251
1998-04-20;19:20;60;max;00251
1998-04-21;1:50;16;min;00251
1998-04-21;6:40;41;max;00251
1998-04-21;12:35;-1;min;00251
1998-04-21;19:50;59;max;00251
1998-04-22;2:10;0;min;00251
1998-04-22;7:15;45;max;00251
1998-04-22;13:55;-16;min;00251
1998-04-22;20:30;64;max;00251
1998-04-23;2:35;-8;min;00251
1998-04-23;8:20;52;max;00251
1998-04-23;14:00;-20;min;00251
1998-04-23;21:05;68;max;00251
1998-04-24;3:50;-16;min;00251
1998-04-24;9:20;53;max;00251
1998-04-24;15:15;-16;min;00251
1998-04-24;21:45;78;max;00251
1998-04-25;4:25;-29;min;00251
1998-04-25;10:10;52;max;00251
1998-04-25;15:35;-21;min;00251
1998-04-25;22:15;73;max;00251
1998-04-26;4:55;-37;min;00251
1998-04-26;10:45;52;max;00251
1998-04-26;16:25;-16;min;00251
1998-04-26;22:50;78;max;00251
1998-04-27;6:30;-28;min;00251
1998-04-27;11:45;63;max;00251
1998-04-27;17:00;7;min;00251
1998-04-27;23:20;92;max;00251
1998-04-28;6:30;-25;min;00251
1998-04-28;12:40;68;max;00251
1998-04-28;17:25;17;min;00251
1998-04-28;23:20;78;max;00251
