"Data;Ora;Valore;Tipo;ID staz"
"1995-01-01;3:30;20;min;00251"
"1995-01-01;9:50;107;max;00251"
"1995-01-01;17:20;-29;min;00251"
"1995-01-02;0:35;65;max;00251"
"1995-01-02;4:40;32;min;00251"
"1995-01-02;10:05;84;max;00251"
"1995-01-02;17:50;-47;min;00251"
"1995-01-03;1:35;81;max;00251"
"1995-01-03;6:40;29;min;00251"
"1995-01-03;11:00;70;max;00251"
"1995-01-03;18:05;-53;min;00251"
"1995-01-04;1:15;83;max;00251"
"1995-01-04;7:10;20;min;00251"
"1995-01-04;12:00;56;max;00251"
"1995-01-04;17:50;-25;min;00251"
"1995-01-05;1:30;81;max;00251"
"1995-01-05;7:45;15;min;00251"
"1995-01-05;12:30;48;max;00251"
"1995-01-05;18:55;-4;min;00251"
"1995-01-06;1:55;67;max;00251"
"1995-01-06;8:30;4;min;00251"
"1995-01-06;14:00;48;max;00251"
"1995-01-06;19:45;-6;min;00251"
"1995-01-07;2:15;54;max;00251"
"1995-01-07;8:45;1;min;00251"
"1995-01-07;14:00;39;max;00251"
"1995-01-07;20:00;-2;min;00251"
"1995-01-08;3:35;47;max;00251"
"1995-01-08;9:50;9;min;00251"
"1995-01-08;13:55;25;max;00251"
"1995-01-08;20:05;-10;min;00251"
"1995-01-09;4:40;34;max;00251"
"1995-01-09;15:20;-8;min;00251"
"1995-01-09;16:30;-6;max;00251"
"1995-01-09;21:40;-9;min;00251"
"1995-01-10;6:00;36;max;00251"
"1995-01-10;13:40;-8;min;00251"
"1995-01-10;19:50;25;max;00251"
"1995-01-10;23:30;19;min;00251"
"1995-01-11;6:05;53;max;00251"
"1995-01-11;13:50;0;min;00251"
"1995-01-11;21:25;39;max;00251"
"1995-01-12;1:10;15;min;00251"
"1995-01-12;7:25;52;max;00251"
"1995-01-12;14:30;-16;min;00251"
"1995-01-12;21:25;38;max;00251"
"1995-01-13;2:30;7;min;00251"
"1995-01-13;7:55;46;max;00251"
"1995-01-13;15:55;-41;min;00251"
"1995-01-13;21:55;22;max;00251"
"1995-01-14;3:05;-2;min;00251"
"1995-01-14;8:50;50;max;00251"
"1995-01-14;16:35;-56;min;00251"
"1995-01-14;22:50;36;max;00251"
"1995-01-15;3:40;-17;min;00251"
"1995-01-15;9:14;49;max;00251"
"1995-01-15;16:25;-68;min;00251"
"1995-01-15;23:00;31;max;00251"
"1995-01-16;3:45;-12;min;00251"
"1995-01-16;9:35;39;max;00251"
"1995-01-16;16:45;-60;min;00251"
"1995-01-16;23:35;38;max;00251"
"1995-01-17;5:10;-8;min;00251"
"1995-01-17;10:40;41;max;00251"
"1995-01-17;17:35;-56;min;00251"
"1995-01-18;0:15;49;max;00251"
"1995-01-18;5:45;-12;min;00251"
"1995-01-18;11:10;51;max;00251"
"1995-01-18;17:55;-53;min;00251"
"1995-01-19;0:35;59;max;00251"
"1995-01-19;5:50;6;min;00251"
"1995-01-19;11:35;76;max;00251"
"1995-01-19;19:05;-29;min;00251"
"1995-01-20;0:25;39;max;00251"
"1995-01-20;6:05;-21;min;00251"
"1995-01-20;12:15;55;max;00251"
"1995-01-20;19:10;-42;min;00251"
"1995-01-21;1:40;40;max;00251"
"1995-01-21;6:45;-1;min;00251"
"1995-01-21;12:30;49;max;00251"
"1995-01-21;19:25;-37;min;00251"
"1995-01-22;2:40;47;max;00251"
"1995-01-22;8:35;-2;min;00251"
"1995-01-22;13:05;28;max;00251"
"1995-01-22;19:20;-21;min;00251"
"1995-01-23;3:05;55;max;00251"
"1995-01-23;9:05;-4;min;00251"
