"Data;Ora;Valore;Tipo;ID staz"
"1989-01-01;4:50;34;max;00251"
"1989-01-01;13:30;-29;min;00251"
"1989-01-01;20:10;-9;max;00251"
"1989-01-01;22:00;-10;min;00251"
"1989-01-02;5:20;30;max;00251"
"1989-01-02;13:55;-36;min;00251"
"1989-01-02;22:30;15;max;00251"
"1989-01-03;0:10;14;min;00251"
"1989-01-03;6:40;38;max;00251"
"1989-01-03;14:50;-44;min;00251"
"1989-01-03;21:40;16;max;00251"
"1989-01-04;1:50;0;min;00251"
"1989-01-04;7:30;34;max;00251"
"1989-01-04;15:15;-49;min;00251"
"1989-01-04;22:10;27;max;00251"
"1989-01-05;2:50;-1;min;00251"
"1989-01-05;8:20;37;max;00251"
"1989-01-05;15:40;-55;min;00251"
"1989-01-05;22:40;28;max;00251"
"1989-01-06;3:35;-8;min;00251"
"1989-01-06;9:00;43;max;00251"
"1989-01-06;16:20;-53;min;00251"
"1989-01-06;23:05;36;max;00251"
"1989-01-07;4:15;-7;min;00251"
"1989-01-07;10:05;47;max;00251"
"1989-01-07;16:50;-53;min;00251"
"1989-01-07;23:50;38;max;00251"
"1989-01-08;5:15;-8;min;00251"
"1989-01-08;11:00;46;max;00251"
"1989-01-08;17:25;-63;min;00251"
"1989-01-09;0:25;35;max;00251"
"1989-01-09;5:30;-12;min;00251"
"1989-01-09;11:15;48;max;00251"
"1989-01-09;17:50;-64;min;00251"
"1989-01-10;1:30;43;max;00251"
"1989-01-10;6:30;-5;min;00251"
"1989-01-10;11:50;46;max;00251"
"1989-01-10;18:30;-53;min;00251"
"1989-01-11;1:50;50;max;00251"
"1989-01-11;7:25;-4;min;00251"
"1989-01-11;12:25;43;max;00251"
"1989-01-11;19:00;-45;min;00251"
"1989-01-12;2:20;47;max;00251"
"1989-01-12;8:00;-7;min;00251"
"1989-01-12;13:00;33;max;00251"
"1989-01-12;19:00;-34;min;00251"
"1989-01-13;2:50;48;max;00251"
"1989-01-13;9:15;-8;min;00251"
"1989-01-13;13:50;19;max;00251"
"1989-01-13;19:45;-33;min;00251"
"1989-01-14;3:10;36;max;00251"
"1989-01-14;10:45;-17;min;00251"
"1989-01-14;14:30;0;max;00251"
"1989-01-14;19:45;-26;min;00251"
"1989-01-15;4:05;36;max;00251"
"1989-01-15;12:25;-33;min;00251"
"1989-01-16;5:40;27;max;00251"
"1989-01-16;13:40;-49;min;00251"
"1989-01-17;6:05;30;max;00251"
"1989-01-17;14:30;-53;min;00251"
"1989-01-17;21:40;16;max;00251"
"1989-01-18;1:50;-1;min;00251"
"1989-01-18;7:20;25;max;00251"
"1989-01-18;15:00;-65;min;00251"
"1989-01-18;21:30;9;max;00251"
"1989-01-19;2:35;-16;min;00251"
"1989-01-19;8:30;19;max;00251"
"1989-01-19;15:45;-69;min;00251"
"1989-01-19;22:50;15;max;00251"
"1989-01-20;3:40;-23;min;00251"
"1989-01-20;9:15;35;max;00251"
