"Data;Ora;Valore;Tipo;ID staz"
"2000-01-01;6:05;60;max;00251"
"2000-01-01;15:10;-47;min;00251"
"2000-01-01;22:05;32;max;00251"
"2000-01-02;1:45;17;min;00251"
"2000-01-02;6:40;46;max;00251"
"2000-01-02;14:55;-45;min;00251"
"2000-01-02;21:45;33;max;00251"
"2000-01-03;2:35;-1;min;00251"
"2000-01-03;8:10;38;max;00251"
"2000-01-03;15:15;-41;min;00251"
"2000-01-03;22:00;35;max;00251"
"2000-01-04;3:15;-10;min;00251"
"2000-01-04;8:50;43;max;00251"
"2000-01-04;16:05;-41;min;00251"
"2000-01-04;22:25;38;max;00251"
"2000-01-05;3:45;-9;min;00251"
"2000-01-05;9:30;52;max;00251"
"2000-01-05;16:35;-48;min;00251"
"2000-01-05;23:10;35;max;00251"
"2000-01-06;3:55;-4;min;00251"
"2000-01-06;10:05;59;max;00251"
"2000-01-06;17:05;-50;min;00251"
"2000-01-06;23:45;36;max;00251"
"2000-01-07;4:40;-5;min;00251"
"2000-01-07;10:20;52;max;00251"
"2000-01-07;17:20;-53;min;00251"
"2000-01-08;0:30;39;max;00251"
"2000-01-08;5:35;-1;min;00251"
"2000-01-08;10:55;54;max;00251"
"2000-01-08;18:00;-51;min;00251"
"2000-01-09;0:50;44;max;00251"
"2000-01-09;6:05;-1;min;00251"
"2000-01-09;11:25;52;max;00251"
"2000-01-09;18:10;-47;min;00251"
"2000-01-10;1:15;43;max;00251"
"2000-01-10;6:40;-1;min;00251"
"2000-01-10;11:50;43;max;00251"
"2000-01-10;18:40;-44;min;00251"
"2000-01-11;2:05;36;max;00251"
"2000-01-11;7:10;-2;min;00251"
"2000-01-11;12:10;35;max;00251"
"2000-01-11;19:15;-34;min;00251"
"2000-01-12;2:50;36;max;00251"
"2000-01-12;8:25;-1;min;00251"
"2000-01-12;13:10;27;max;00251"
"2000-01-12;19:55;-33;min;00251"
"2000-01-13;3:40;39;max;00251"
"2000-01-13;9:15;-4;min;00251"
"2000-01-13;13:30;22;max;00251"
"2000-01-13;20:45;-28;min;00251"
"2000-01-14;4:45;39;max;00251"
"2000-01-14;11:15;-8;min;00251"
"2000-01-14;15:15;6;max;00251"
"2000-01-14;21:15;-25;min;00251"
"2000-01-15;5:20;36;max;00251"
"2000-01-15;12:50;-21;min;00251"
"2000-01-15;18:30;1;max;00251"
"2000-01-15;22:25;-8;min;00251"
"2000-01-16;6:25;52;max;00251"
"2000-01-16;14:00;-25;min;00251"
"2000-01-16;19:40;20;max;00251"
"2000-01-17;0:20;-4;min;00251"
"2000-01-17;7:20;44;max;00251"
"2000-01-17;14:35;-44;min;00251"
"2000-01-17;21:10;23;max;00251"
"2000-01-18;0:55;3;min;00251"
"2000-01-18;8:20;64;max;00251"
"2000-01-18;15:15;-48;min;00251"
"2000-01-18;22:50;55;max;00251"
"2000-01-19;3:15;25;min;00251"
"2000-01-19;7:40;48;max;00251"
"2000-01-19;15:55;-61;min;00251"
"2000-01-19;22:55;56;max;00251"
"2000-01-20;4:50;-4;min;00251"
"2000-01-20;10:00;40;max;00251"
"2000-01-20;16:40;-56;min;00251"
"2000-01-20;23:25;67;max;00251"
"2000-01-21;5:05;-12;min;00251"
"2000-01-21;10:40;63;max;00251"
"2000-01-21;17:10;-41;min;00251"
"2000-01-21;23:40;59;max;00251"
"2000-01-22;5:05;-10;min;00251"
"2000-01-22;11:25;70;max;00251"
"2000-01-22;17:50;-23;min;00251"
"2000-01-23;0:10;67;max;00251"
"2000-01-23;6:05;-1;min;00251"
"2000-01-23;11:45;63;max;00251"
"2000-01-23;18:50;-39;min;00251"
"2000-01-24;1:30;44;max;00251"
"2000-01-24;6:10;8;min;00251"
"2000-01-24;12:05;69;max;00251"
"2000-01-24;19:25;-44;min;00251"
"2000-01-25;2:10;46;max;00251"
"2000-01-25;6:55;11;min;00251"
"2000-01-25;12:10;48;max;00251"
"2000-01-25;19:30;-46;min;00251"
"2000-01-26;3:15;47;max;00251"
"2000-01-26;8:50;-1;min;00251"
"2000-01-26;13:00;19;max;00251"
"2000-01-26;19:30;-44;min;00251"
"2000-01-27;3:25;43;max;00251"
"2000-01-27;9:40;-8;min;00251"
"2000-01-27;13:10;0;max;00251"
"2000-01-27;18:25;-25;min;00251"
"2000-01-28;3:30;43;max;00251"
"2000-01-28;11:15;-16;min;00251"
"2000-01-28;16:00;-5;max;00251"
"2000-01-28;17:25;-7;min;00251"
"2000-01-29;4:45;35;max;00251"
"2000-01-29;13:15;-20;min;00251"
"2000-01-29;20:00;22;max;00251"
"2000-01-29;23:10;17;min;00251"
"2000-01-30;6:00;38;max;00251"
"2000-01-30;13:15;-16;min;00251"
"2000-01-30;21:35;27;max;00251"
"2000-01-31;2:05;9;min;00251"
"2000-01-31;6:45;31;max;00251"
"2000-01-31;14:30;-19;min;00251"
"2000-01-31;21:10;32;max;00251"
"2000-02-01;2:40;-1;min;00251"
"2000-02-01;8:00;31;max;00251"
"2000-02-01;15:20;-33;min;00251"
"2000-02-01;21:55;31;max;00251"
"2000-02-02;2:50;-8;min;00251"
"2000-02-02;9:15;48;max;00251"
"2000-02-02;15:50;-35;min;00251"
"2000-02-02;22:30;36;max;00251"
"2000-02-03;3:30;-5;min;00251"
"2000-02-03;9:20;51;max;00251"
"2000-02-03;16:25;-53;min;00251"
"2000-02-03;23:10;31;max;00251"
"2000-02-04;4:00;-8;min;00251"
"2000-02-04;9:30;43;max;00251"
"2000-02-04;16:45;-68;min;00251"
"2000-02-04;23:40;32;max;00251"
"2000-02-05;4:50;-12;min;00251"
"2000-02-05;10:15;43;max;00251"
"2000-02-05;17:05;-69;min;00251"
"2000-02-05;23:55;32;max;00251"
"2000-02-06;5:20;-25;min;00251"
"2000-02-06;10:50;32;max;00251"
"2000-02-06;17:25;-63;min;00251"
"2000-02-07;0:25;43;max;00251"
"2000-02-07;6:05;-16;min;00251"
"2000-02-07;11:20;44;max;00251"
"2000-02-07;17:55;-53;min;00251"
"2000-02-08;0:45;44;max;00251"
"2000-02-08;6:20;-13;min;00251"
"2000-02-08;12:05;44;max;00251"
"2000-02-08;18:25;-41;min;00251"
"2000-02-09;1:30;55;max;00251"
"2000-02-09;6:55;-5;min;00251"
"2000-02-09;12:15;51;max;00251"
"2000-02-09;18:35;-33;min;00251"
"2000-02-10;2:00;46;max;00251"
"2000-02-10;8:10;-8;min;00251"
"2000-02-10;12:30;27;max;00251"
"2000-02-10;18:50;-29;min;00251"
"2000-02-11;2:20;48;max;00251"
"2000-02-11;9:25;-12;min;00251"
"2000-02-11;14:10;20;max;00251"
"2000-02-11;19:25;-23;min;00251"
"2000-02-12;2:45;43;max;00251"
"2000-02-12;9:45;-17;min;00251"
"2000-02-12;15:00;17;max;00251"
"2000-02-12;19:50;-5;min;00251"
"2000-02-13;3:05;36;max;00251"
"2000-02-13;11:30;-16;min;00251"
"2000-02-13;18:30;18;max;00251"
"2000-02-13;21:55;12;min;00251"
"2000-02-14;5:00;44;max;00251"
"2000-02-14;13:15;-21;min;00251"
"2000-02-14;20:45;23;max;00251"
"2000-02-15;0:30;14;min;00251"
"2000-02-15;6:50;47;max;00251"
"2000-02-15;14:30;-28;min;00251"
"2000-02-15;21:25;39;max;00251"
"2000-02-16;2:05;17;min;00251"
"2000-02-16;8:20;59;max;00251"
"2000-02-16;15:15;-20;min;00251"
"2000-02-16;22:00;72;max;00251"
"2000-02-17;3:30;12;min;00251"
"2000-02-17;8:50;59;max;00251"
"2000-02-17;15:00;-28;min;00251"
"2000-02-17;22:10;62;max;00251"
"2000-02-18;4:05;-9;min;00251"
"2000-02-18;9:50;57;max;00251"
"2000-02-18;16:35;-39;min;00251"
"2000-02-18;23:25;63;max;00251"
"2000-02-19;4:15;3;min;00251"
"2000-02-19;10:20;83;max;00251"
"2000-02-19;17:20;-28;min;00251"
"2000-02-19;23:45;75;max;00251"
"2000-02-20;5:35;-1;min;00251"
"2000-02-20;10:55;67;max;00251"
"2000-02-20;17:40;-40;min;00251"
"2000-02-21;0:10;63;max;00251"
"2000-02-21;5:55;-15;min;00251"
"2000-02-21;11:30;54;max;00251"
"2000-02-21;18:10;-41;min;00251"
"2000-02-22;0:35;54;max;00251"
"2000-02-22;6:25;-15;min;00251"
"2000-02-22;11:50;44;max;00251"
"2000-02-22;18:20;-40;min;00251"
"2000-02-23;1:10;47;max;00251"
"2000-02-23;7:05;-13;min;00251"
"2000-02-23;12:25;35;max;00251"
"2000-02-23;18:45;-34;min;00251"
"2000-02-24;1:35;44;max;00251"
"2000-02-24;8:00;-19;min;00251"
"2000-02-24;12:45;20;max;00251"
"2000-02-24;18:50;-33;min;00251"
"2000-02-25;2:10;46;max;00251"
"2000-02-25;8:15;-15;min;00251"
"2000-02-25;12:45;14;max;00251"
"2000-02-25;18:20;-20;min;00251"
"2000-02-26;2:15;39;max;00251"
"2000-02-26;10:15;-21;min;00251"
"2000-02-27;1:45;27;max;00251"
"2000-02-27;11:30;-28;min;00251"
"2000-02-28;3:50;12;max;00251"
"2000-02-28;12:20;-26;min;00251"
